Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Afghanistan,World,Consumer goods,Export,Export(US$ Mil),,,             98.74,             56.51,             74.73,             70.14,            132.33,            154.83,            134.35,            126.91,             56.02,             86.77,             75.09,            155.89,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Minerals,Export,Export(US$ Mil),,,             19.00,             10.59,              6.97,              6.71,              6.09,,,,              1.15,              1.07,              0.56,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            170.78,,,            422.29,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Raw materials,Export,Export(US$ Mil),,,            718.90,            498.92,            573.90,            408.97,            343.56,             12.13,              9.30,             21.66,            189.72,            181.62,            244.52,            307.41,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Capital goods,Export,Export(US$ Mil),,,              1.63,              1.63,              0.09,,,,,,,,,             29.92,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Plastic or Rubber,Export,Export(US$ Mil),,,              0.23,              0.16,              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            258.85,,            600.50,,            494.37,            336.77,            367.93,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Vegetable,Export,Export(US$ Mil),,,            691.92,            687.27,            700.21,            433.04,            359.01,             82.70,             70.23,             74.79,            194.91,            195.90,            250.81,            321.18,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Footwear,Export,Export(US$ Mil),,,              0.38,              0.14,              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Miscellaneous,Export,Export(US$ Mil),,,              0.96,              0.91,              0.80,            113.54,             93.52,            403.57,            371.32,            280.34,            126.11,            113.76,             78.99,             29.92,,,,,,,,,,,,,,,,,,,,
Afghanistan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             31.00,             28.41,,,,,             20.28,              4.80,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,...,...,Import,No. Of Import products,,,            741.00,            331.00,            221.00,             69.00,             67.00,             15.00,             15.00,             15.00,             64.00,             62.00,             60.00,             62.00,,,,,,,,,,,,,,,,,,,,
Afghanistan,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            410.14,            359.47,            356.14,            230.04,            188.87,            159.98,            102.96,             69.71,             70.44,             65.36,             76.01,            132.00,,,,,,,,,,,,,,,,,,,,
Afghanistan,...,...,Export,No. Of Export products,,,            204.00,            156.00,             99.00,             42.00,             43.00,              5.00,              5.00,              5.00,             31.00,             32.00,             30.00,             33.00,,,,,,,,,,,,,,,,,,,,
Afghanistan,Turkmenistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            690.21,,,,            632.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,...,...,Export,No. Of Export partners,,,             65.00,             62.00,             54.00,             48.00,             53.00,              7.00,              7.00,              7.00,             37.00,             40.00,             36.00,             34.00,,,,,,,,,,,,,,,,,,,,
Afghanistan,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             17.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Intermediate goods,Export,Export(US$ Mil),,,             36.24,             23.63,             14.08,              3.80,              2.00,,,,              4.00,              6.33,              4.85,              4.58,,,,,,,,,,,,,,,,,,,,
Afghanistan,Iraq,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             14.56,             11.18,,,,,             15.42,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Textiles and Clothing,Export,Export(US$ Mil),,,             59.60,             57.91,             49.74,             38.98,             90.18,             83.99,             73.23,             72.76,             49.12,             70.02,             67.86,            155.37,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Food Products,Export,Export(US$ Mil),,,              5.00,              6.60,              6.27,              0.09,              0.24,,,,,,,              1.44,,,,,,,,,,,,,,,,,,,,
Afghanistan,World,Consumer goods,Import,Import(US$ Mil),,,           2475.14,           1376.73,           1688.26,           1013.54,           1055.18,            355.79,            304.69,            188.19,            737.26,           1494.52,            314.84,            878.52,,,,,,,,,,,,,,,,,,,,
Afghanistan,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            790.75,            866.77,            621.62,            426.84,,,,,,            290.56,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            155.77,            141.01,            123.11,,,,,,,,,,,,,,,,,,,,,,,,
