Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Angola,World,Consumer goods,Export,Export(US$ Mil),           3808.08,           1283.20,           1821.57,           2265.32,           2054.38,            505.29,            523.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Minerals,Export,Export(US$ Mil),             56.82,             31.17,             16.65,             32.55,             24.93,             69.70,             31.99,              7.20,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Raw materials,Export,Export(US$ Mil),          29096.02,          19582.75,          32801.64,          37851.00,          32298.89,          26691.66,          32519.04,          57775.67,          66671.32,          70018.22,          65375.04,          51889.75,          40109.24,,          43511.45,,,,,,,,,,,,,,,,,,,
Angola,World,Capital goods,Export,Export(US$ Mil),           1314.45,           1075.95,            559.26,            153.18,            302.71,            488.60,            652.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Plastic or Rubber,Export,Export(US$ Mil),              4.98,              3.37,              5.58,              8.42,              9.28,             12.30,             10.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            790.80,            678.59,           1007.87,,,           1535.78,,,           1465.90,,,,,,,,,,,,,,,,,,,,,
Angola,World,Vegetable,Export,Export(US$ Mil),             11.04,             10.84,             38.83,             13.79,              9.17,             12.19,             44.41,              1.21,              0.59,              1.05,              0.96,              0.57,              0.81,,              0.41,,,,,,,,,,,,,,,,,,,
Angola,World,Footwear,Export,Export(US$ Mil),              3.12,              2.74,              5.77,              8.07,              8.15,              5.71,              0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           1388.77,           1136.07,           1410.79,,           4007.02,           4699.80,           5386.49,           2699.44,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Miscellaneous,Export,Export(US$ Mil),             65.67,             40.17,             42.54,             52.91,             67.51,             99.15,             79.31,,              0.00,,,,,,              0.00,,,,,,,,,,,,,,,,,,,
Angola,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1004.83,            876.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          20058.43,          13216.05,          21536.93,          24512.12,          19487.07,          13923.09,          14320.57,          27527.11,          31947.24,          33710.03,          24360.79,          20963.25,          15954.06,,          13459.33,,,,,,,,,,,,,,,,,,,
Angola,...,...,Import,No. Of Import products,           4033.00,           4003.00,           4106.00,           4075.00,           4103.00,           4065.00,           4160.00,           4217.00,           4245.00,           4172.00,           4165.00,           4136.00,           4157.00,,           4227.00,,,,,,,,,,,,,,,,,,,
Angola,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3008.39,           1611.52,           3376.93,           3768.94,           2890.06,           1948.85,           2676.34,           4507.42,           6764.23,           6932.06,           6842.02,           5117.82,           3659.56,,           2376.84,,,,,,,,,,,,,,,,,,,
Angola,...,...,Export,No. Of Export products,           2218.00,           2236.00,           2350.00,           2170.00,           2232.00,           2281.00,           2212.00,              7.00,              6.00,              5.00,              5.00,              6.00,              6.00,,              6.00,,,,,,,,,,,,,,,,,,,
Angola,...,...,Export,No. Of Export partners,            137.00,            130.00,            141.00,            138.00,            137.00,            135.00,            134.00,             38.00,             35.00,             30.00,             33.00,             31.00,             33.00,,             33.00,,,,,,,,,,,,,,,,,,,
Angola,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            759.96,,,,,,           4239.55,,           2349.73,,,,,,,,,,,,,,,,,,,,,,,
Angola,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           1758.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Intermediate goods,Export,Export(US$ Mil),            232.36,            169.20,            238.77,            360.92,            247.94,            332.50,            192.58,            896.70,           1041.21,            844.86,           1052.35,            722.36,            530.17,,            666.33,,,,,,,,,,,,,,,,,,,
Angola,Togo,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            687.69,,,            952.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            745.72,            453.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Textiles and Clothing,Export,Export(US$ Mil),              2.06,              2.10,              2.67,              1.32,              3.65,              3.56,              2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Food Products,Export,Export(US$ Mil),             37.19,             27.39,             51.99,             40.69,             81.35,             72.19,             15.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            546.04,            527.88,,,            870.25,            668.48,,           1563.69,,,,            963.92,           1587.72,,,,,,,,,,,,,,,,,,,,,
Angola,World,Consumer goods,Import,Import(US$ Mil),           5090.40,           3955.59,           6205.45,           6542.21,           5670.07,           4538.83,           6604.86,          10086.30,           9718.70,          10682.69,           8545.45,           8078.89,           9996.01,,           3580.61,,,,,,,,,,,,,,,,,,,
Angola,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1542.72,,,           2092.49,           2515.38,           1402.07,           2212.48,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Transportation,Export,Export(US$ Mil),           1182.34,            968.61,            386.79,             15.16,             33.26,            150.01,            281.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1688.90,           1434.67,           2026.24,           2331.09,           2134.79,           1674.92,           3311.09,           3428.51,           2807.56,           3457.05,           1837.13,           1829.20,           2094.78,,            864.71,,,,,,,,,,,,,,,,,,,
Angola,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1399.45,           1049.00,           1132.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,World,Raw materials,Import,Import(US$ Mil),            816.04,            653.99,            859.25,           1288.44,           1071.53,            692.17,           1121.13,           1653.26,           1350.33,           1680.41,           1058.13,            815.87,           1051.17,,            489.97,,,,,,,,,,,,,,,,,,,
Angola,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           1816.62,           2050.64,,,,,,,,,,,,,,,,,,,,,,
Angola,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,           1148.52,           1342.55,           1309.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,"Korea, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           1051.12,,,,,,,,,,,,,,,,,,,
Angola,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            958.10,,,,,,,,,,,,,,,,,,,
Angola,World,Hides and Skins,Export,Export(US$ Mil),              0.17,              0.27,              0.25,              0.25,              0.22,              0.26,              0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
