Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Andorra,World,Consumer goods,Export,Export(US$ Mil),             95.98,             73.38,             65.38,             71.88,             68.53,             58.76,             53.60,             60.04,             62.53,             66.96,             70.30,             53.19,             75.37,             89.45,             77.31,            101.37,,             64.78,             58.58,             49.70,             41.06,             33.40,             32.40,             47.90,             40.71,             37.48,             38.37,,,,,,,
Andorra,World,Minerals,Export,Export(US$ Mil),              0.35,              0.34,              1.74,              0.44,              0.27,              0.19,              0.23,              0.38,              0.26,              0.31,              0.24,              0.34,              0.38,              0.65,              0.79,              0.47,,              1.63,              1.29,              0.65,              0.68,              0.48,              0.51,              0.43,              0.41,              0.56,              0.51,,,,,,,
Andorra,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             84.85,             52.14,             61.49,             55.50,             50.65,             39.62,             41.21,             59.93,             46.92,             50.64,             70.57,             69.42,             69.40,             90.43,             97.50,             84.53,,             92.93,             76.72,             61.47,             52.63,             44.99,             45.16,             47.20,             48.26,             45.73,             49.54,,,,,,,
Andorra,World,Raw materials,Export,Export(US$ Mil),              7.26,              4.27,              5.70,              5.53,              4.73,              3.89,              4.51,              5.92,              4.95,              6.18,              6.52,              6.12,              4.25,              6.62,              5.84,              4.28,,              4.20,              2.89,              2.09,              1.93,              2.13,              1.58,              2.17,              1.58,              2.13,              2.46,,,,,,,
Andorra,World,Capital goods,Export,Export(US$ Mil),             48.82,             83.34,             48.28,             45.11,             33.12,             28.00,             24.75,             25.11,             27.17,             26.43,             29.00,             27.05,             17.11,             34.52,             56.42,             29.57,,             36.11,             18.41,              8.93,              6.33,              6.08,              6.74,              6.40,              4.51,              5.38,              5.85,,,,,,,
Andorra,World,Plastic or Rubber,Export,Export(US$ Mil),              0.79,              1.17,              0.65,              0.71,              0.99,              1.92,              1.77,              2.27,              1.82,              1.60,              1.50,              1.24,              1.36,              1.42,              1.03,              0.94,,              2.05,              1.09,              1.06,              1.16,              2.58,              2.06,              1.27,              1.23,              1.41,              1.10,,,,,,,
Andorra,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             61.00,             41.76,,,,,,,,
Andorra,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              4.79,              3.76,              4.83,              6.55,              5.15,              3.28,              5.25,,              6.23,              5.65,              4.00,              3.95,              3.66,              2.60,,,,,              0.79,,,,,,,,,,,,,,
Andorra,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             51.86,             44.19,,             83.34,             71.21,             50.02,             43.58,             31.47,             36.90,             34.81,,,,,,,,,,
Andorra,World,Vegetable,Export,Export(US$ Mil),              0.13,              0.08,              0.11,              0.13,              0.19,              0.14,              0.11,              0.13,              0.15,              0.10,              0.06,              0.06,              0.04,              0.11,              0.15,              0.02,,              0.01,              0.03,              0.08,              0.01,              0.03,              0.15,              0.04,              0.01,              0.02,              0.04,,,,,,,
