Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
United Arab Emirates,World,Consumer goods,Export,Export(US$ Mil),         173170.79,         112520.74,         143838.18,         105649.11,          78537.68,          56192.82,          64114.38,          63958.50,          50948.29,          62904.11,,,,          41014.15,          33694.16,,          20518.75,,,,,,,,,,,,             88.59,             39.05,             29.55,,,
United Arab Emirates,World,Minerals,Export,Export(US$ Mil),           1605.74,           1086.72,           1299.69,           1370.62,           1064.98,           1080.06,           1307.00,           1179.11,           1104.92,           1004.91,            711.50,            466.87,            448.00,            717.75,            695.99,           1130.46,            160.56,             90.85,            244.46,            554.93,             80.00,             74.05,            138.92,,,,,,             21.52,              7.02,              7.06,,,
United Arab Emirates,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          10937.45,          11512.35,          12594.49,          11931.54,          11546.62,          10324.95,,           8347.47,           8081.54,           8168.27,,,           5945.87,,,           3156.81,           2519.82,           2249.57,,           1845.33,,,,,,            382.29,            373.15,            264.12,,,
United Arab Emirates,World,Raw materials,Export,Export(US$ Mil),         119241.28,         116451.75,         141193.10,          87415.07,          43993.80,          36576.30,          42441.59,          83110.96,         117468.48,         106972.76,,,,          85507.95,          63091.10,,          42584.00,,,,,,,,,,,,             21.55,             24.90,             18.37,,,
United Arab Emirates,World,Capital goods,Export,Export(US$ Mil),          57981.14,          48579.49,          53547.92,          49366.60,          42408.14,          17413.28,          19580.29,          21195.95,          18789.91,          43691.09,,,,          10845.93,           9721.71,,           8817.64,,,,,,,,,,,,             84.43,             47.25,             24.77,,,
United Arab Emirates,World,Plastic or Rubber,Export,Export(US$ Mil),          10892.01,           8388.27,           7709.52,           6913.79,           6331.69,           6402.26,           4584.79,           4747.16,           4507.89,           6650.79,           3427.21,           3019.34,           2632.21,           2743.72,           2209.94,           1634.55,           1558.03,            740.53,            742.36,            557.99,            415.50,            318.88,            281.96,,,,,,            129.82,              1.30,              1.96,,,
United Arab Emirates,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,           2147.34,           2198.36,           2094.69,,,,,,            494.29,            415.30,            334.03,,,
United Arab Emirates,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10859.51,           9457.73,          12615.92,          13807.19,          13705.83,,,,,          13678.16,,,,          11610.28,           8073.72,,           4677.11,           4428.23,           3479.69,           2762.44,           2371.34,           2460.84,           2451.01,,,,,,            670.25,            671.14,            605.67,,,
United Arab Emirates,World,Vegetable,Export,Export(US$ Mil),           4196.39,           3631.18,           3310.47,           3041.42,           2236.48,           2189.32,           2457.78,           2090.68,           1930.02,           1951.64,           2079.00,           1660.91,           1469.77,           1728.67,           1062.84,            941.03,            839.36,            651.69,            557.17,            516.92,            457.00,            523.70,            548.58,,,,,,            344.99,             12.20,              3.67,,,
United Arab Emirates,World,Footwear,Export,Export(US$ Mil),           1231.07,            900.63,           1086.11,            973.01,            883.44,            411.48,            373.31,            311.67,            290.14,            517.75,            281.42,            248.22,            251.56,            255.80,            295.87,            241.13,            238.49,            213.78,            152.33,            101.80,             65.59,             58.02,             81.29,,,,,,             46.81,,,,,
