Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Antigua and Barbuda,World,Consumer goods,Export,Export(US$ Mil),,,             13.48,             11.65,             50.55,             52.42,             15.90,             12.61,             23.54,             17.32,             17.74,             19.54,            183.06,,             77.51,,            106.08,,,,,              7.04,              6.27,,,,,,,,,,,
Antigua and Barbuda,World,Minerals,Export,Export(US$ Mil),,,              0.00,              0.00,              0.04,              0.00,              0.00,              0.00,              0.04,              0.01,              0.00,              0.00,              0.03,,              0.00,,              0.06,,,,,              0.20,              0.31,,,,,,,,,,,
Antigua and Barbuda,World,Raw materials,Export,Export(US$ Mil),,,             21.96,              9.35,              0.75,              0.84,              1.20,              1.93,              2.78,              2.03,              1.55,              0.82,              0.67,,              0.99,,              0.42,,,,,              0.56,              0.73,,,,,,,,,,,
Antigua and Barbuda,World,Capital goods,Export,Export(US$ Mil),,,              1.10,              1.86,              8.71,              4.83,              7.51,              3.25,              5.41,              8.12,              8.23,             11.94,             19.75,,             18.26,,             11.24,,,,,             13.09,              5.73,,,,,,,,,,,
Antigua and Barbuda,World,Plastic or Rubber,Export,Export(US$ Mil),,,              0.15,              0.13,              0.37,              0.11,              0.31,              0.15,              0.40,              0.34,              0.15,              0.16,              0.21,,              1.04,,              0.26,,,,,              0.16,              0.17,,,,,,,,,,,
Antigua and Barbuda,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             21.05,             34.48,             18.96,             18.87,             16.83,             14.18,             20.65,             16.65,             22.86,             28.13,,             36.81,             23.13,             35.87,,,,,             25.10,             22.26,,,,,,,,,,,
Antigua and Barbuda,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             25.05,             26.13,             23.34,             22.90,,,             10.27,              8.49,,,             23.97,,             24.59,             18.51,             14.77,,,,,,             36.21,,,,,,,,,,,
Antigua and Barbuda,World,Vegetable,Export,Export(US$ Mil),,,              0.09,              0.07,              0.07,              0.04,              0.10,              0.04,              0.09,              0.04,              0.17,              0.03,              0.02,,              0.14,,              0.12,,,,,              0.07,              0.13,,,,,,,,,,,
Antigua and Barbuda,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              4.42,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             23.77,            154.44,             53.48,,,,,             40.46,             19.56,,,,,,,,,,,
Antigua and Barbuda,World,Footwear,Export,Export(US$ Mil),,,              0.11,              0.12,              0.14,              0.02,              0.06,              0.03,              0.03,              0.03,              0.04,              0.03,              0.11,,              0.04,,              0.03,,,,,              0.02,              0.04,,,,,,,,,,,
