Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Azerbaijan,World,Consumer goods,Export,Export(US$ Mil),           6401.30,           2665.03,           3034.71,           2211.82,           1766.43,           1680.84,           2690.57,           2194.68,           2520.75,           2589.33,           2625.00,           1963.12,           1904.92,           2420.76,           2017.15,           1692.11,           1226.57,            804.83,            459.70,            468.64,            418.19,            508.47,             43.78,             43.80,            483.57,            436.17,,,,,,,,
Azerbaijan,World,Minerals,Export,Export(US$ Mil),             63.84,             47.08,             52.50,             45.68,             44.83,             31.06,             16.31,             16.34,             26.00,             21.95,             23.21,              9.75,              4.73,              6.68,              3.41,              2.38,              1.57,              1.27,              0.42,              0.38,              4.31,              0.44,              0.20,              0.88,              2.04,              2.41,,,,,,,,
Azerbaijan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            632.74,            583.08,,            658.64,,,            676.86,            702.78,            826.66,            779.97,            845.29,            607.07,            551.46,            598.57,            471.20,            403.82,            256.33,            198.48,            169.90,,,             67.55,,             46.66,,             77.22,,,,,,,,
Azerbaijan,World,Raw materials,Export,Export(US$ Mil),          14149.65,          10162.73,          15607.84,          16420.02,          12772.87,          11125.01,           9211.93,          18745.47,          20557.81,          20553.45,          23197.52,          18679.91,          12222.64,          44428.08,           3434.94,           4040.42,           2449.27,           2363.83,           1913.54,           1525.49,           1766.57,           1047.69,            449.59,            194.30,            151.99,             61.33,,,,,,,,
Azerbaijan,World,Capital goods,Export,Export(US$ Mil),             68.55,             77.03,             95.07,             76.56,             61.23,            103.20,             71.89,             93.40,            171.41,             92.83,             54.40,            221.38,            205.31,            176.84,            157.84,            123.30,            295.08,            167.42,             37.79,             42.03,             46.53,             64.73,             34.48,             34.65,             42.49,             48.08,,,,,,,,
Azerbaijan,World,Plastic or Rubber,Export,Export(US$ Mil),            442.75,            165.67,            180.05,            119.29,            102.51,             99.65,            112.97,            157.29,            122.62,            108.99,            124.02,             84.66,             60.78,            123.78,             71.46,            100.56,             71.87,             67.35,             34.11,             23.09,             13.82,             20.52,             13.10,             11.99,             22.48,             26.66,,,,,,,,
Azerbaijan,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            495.21,,            978.34,           1325.28,,,,,,            411.33,            453.77,            384.96,            421.77,            286.48,,,             58.87,             67.04,             68.94,,,,,,,,,,
Azerbaijan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             55.48,,,,,,,,,,,
Azerbaijan,World,Vegetable,Export,Export(US$ Mil),            691.08,            649.11,            644.48,            601.62,            535.32,            403.69,            489.23,            521.45,            529.60,            529.82,            442.59,            378.62,            355.03,            375.51,            276.27,            219.66,            261.99,            120.37,            101.22,             39.82,             23.69,             32.06,             26.11,             18.24,             21.02,              6.49,,,,,,,,
Azerbaijan,World,Footwear,Export,Export(US$ Mil),              0.42,              0.88,              0.85,              0.16,              0.39,              0.34,              0.15,              0.04,              0.23,              0.49,              0.44,              0.03,              0.16,              0.06,              0.19,              0.16,              0.21,              0.17,              0.06,              0.06,              0.01,              0.02,              0.03,              0.02,              0.42,              0.25,,,,,,,,
Azerbaijan,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             41.80,            108.55,,,,,,,,
Azerbaijan,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            921.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,World,Miscellaneous,Export,Export(US$ Mil),             26.10,             15.32,             23.26,             26.15,             11.59,             13.98,            232.47,            184.95,            142.57,             30.64,             25.82,             24.62,             28.56,             17.11,             44.77,             22.94,              7.60,             24.86,              6.55,             27.24,             17.37,              4.54,              4.80,              4.99,              2.38,              2.94,,,,,,,,
Azerbaijan,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            938.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            751.28,            470.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,             43.72,,,,,,,,,
Azerbaijan,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           1665.49,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           1206.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
