Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Belgium,World,Consumer goods,Export,Export(US$ Mil),         141065.29,         114294.00,         122476.16,         125443.24,         114441.82,         103755.97,          99787.09,         125994.18,         130268.33,         121325.10,         127476.49,         104514.49,         163123.96,         197241.22,         177862.56,         156044.60,         142612.54,         130435.60,         110580.75,          90948.77,          74656.02,          68843.34,          63288.94,,,,,,,,,,,
Belgium,World,Minerals,Export,Export(US$ Mil),           1888.09,           1446.90,           1439.48,           1584.84,           1393.94,           1104.57,           1218.02,           1430.05,           1290.63,           1305.87,           1561.85,           1657.80,           2214.32,           3110.51,           3068.76,           2757.46,           2152.52,           1874.71,           1267.83,            930.27,            834.37,            968.48,           1153.77,,,,,,,,,,,
Belgium,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          63246.18,          42843.68,          45161.31,          47546.83,          45802.92,          40906.11,          38946.08,          49018.16,          49181.39,          49532.68,          52654.56,          45216.16,          59496.63,          79859.45,          72953.94,          61127.04,          54691.73,          52337.24,          43069.52,          34219.30,          29045.14,          29047.55,          28747.92,,,,,,,,,,,
Belgium,World,Raw materials,Export,Export(US$ Mil),          27929.05,          21249.50,          23541.07,          27480.49,          26434.93,          24879.34,          24197.53,          31541.45,          30115.46,          28893.65,          30256.09,          25468.74,          26816.82,          34638.99,          32389.31,          28039.79,          26826.63,          24377.50,          19240.11,          16842.34,          14626.99,          16034.35,          15924.38,,,,,,,,,,,
Belgium,World,Capital goods,Export,Export(US$ Mil),          59242.97,          50014.62,          52890.36,          53677.01,          49344.73,          46031.60,          44419.26,          50759.31,          48678.37,          48047.14,          51171.64,          43198.81,          58832.41,          79986.23,          70229.17,          57384.32,          54899.13,          52479.94,          44545.52,          37901.70,          37595.67,          37568.44,          34137.85,,,,,,,,,,,
Belgium,World,Plastic or Rubber,Export,Export(US$ Mil),          28001.53,          21225.97,          22373.15,          23819.37,          22489.66,          20749.73,          20970.39,          27161.53,          27868.17,          27533.64,          29652.19,          25964.13,          28211.05,          36640.90,          35280.31,          29648.71,          26113.44,          22833.78,          18589.29,          15178.72,          14350.06,          14735.79,          14647.57,,,,,,,,,,,
Belgium,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,          14463.98,          13128.43,          14454.30,          16473.89,          18608.40,          18490.33,          22591.90,          17609.06,,          27261.24,          26277.63,          23585.76,          21520.68,          19655.27,          17684.00,          14780.28,          13882.74,          15196.69,          14100.13,,,,,,,,,,,
Belgium,World,Vegetable,Export,Export(US$ Mil),          10600.70,           9123.23,           8394.78,           8857.23,           8705.24,           8291.89,           8162.81,          10035.61,          10061.10,           9857.05,           9996.37,           8699.83,          11613.19,          14112.63,          10845.17,           8954.00,           8603.97,           7899.57,           7014.01,           5606.07,           5212.95,           5148.56,           5816.06,,,,,,,,,,,
Belgium,World,Footwear,Export,Export(US$ Mil),            606.61,            388.42,            382.70,            454.54,            435.05,            418.55,            482.60,            606.69,            561.26,            502.70,            567.82,            470.00,           3743.36,           3893.67,           3645.39,           3149.14,           2745.06,           2408.23,           2037.49,           2008.12,           1788.70,           1560.08,           1607.98,,,,,,,,,,,
Belgium,World,Miscellaneous,Export,Export(US$ Mil),          15971.00,          13463.63,          14636.22,          15755.82,          22277.25,          20381.52,          19991.63,          23796.15,          19407.14,          15879.37,          16407.18,          15441.48,          23368.18,          27059.61,          23464.49,          20272.98,          18826.25,          18056.39,          15886.51,          13715.40,          14066.05,          14147.10,           7609.50,,,,,,,,,,,
Belgium,...,...,Import,No. Of Import products,           4513.00,           4520.00,           4518.00,           4516.00,           4509.00,           4521.00,           4531.00,           4526.00,           4538.00,           4546.00,           4570.00,           4569.00,           4572.00,           4569.00,           4575.00,           4834.00,           4839.00,           4832.00,           4843.00,           4831.00,           4897.00,           4908.00,           4915.00,,,,,,,,,,,
Belgium,...,...,Export,No. Of Export products,           4481.00,           4465.00,           4483.00,           4489.00,           4450.00,           4471.00,           4444.00,           4459.00,           4467.00,           4461.00,           4494.00,           4494.00,           4524.00,           4512.00,           4504.00,           4744.00,           4752.00,           4745.00,           4736.00,           4728.00,           4799.00,           4797.00,           4796.00,,,,,,,,,,,
Belgium,...,...,Export,No. Of Export partners,            231.00,            226.00,            228.00,            229.00,            230.00,            227.00,            225.00,            229.00,            231.00,            227.00,            225.00,            222.00,            228.00,            228.00,            231.00,            224.00,            220.00,            221.00,            218.00,            220.00,            219.00,            212.00,            209.00,,,,,,,,,,,
Belgium,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          65823.70,          49084.06,          54771.96,          58288.55,          49022.96,          43149.23,          38432.76,          50962.38,          50938.39,          49927.72,          53970.91,          45633.74,          71617.43,          93191.91,          83981.56,          72001.08,          64547.77,          60634.65,          49759.68,          40235.87,          34503.39,          31819.77,          31722.83,,,,,,,,,,,
Belgium,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          40560.50,          33091.27,          36399.48,          35914.64,          32702.04,          30034.65,          28986.64,          37899.39,          38349.91,          36855.21,          40302.39,          34965.58,          40872.94,          51928.60,          45896.24,          39068.69,          36206.01,          35071.97,          30719.80,          24938.89,          24062.29,          22419.90,          22612.86,,,,,,,,,,,
Belgium,World,Intermediate goods,Export,Export(US$ Mil),         156265.97,         107772.82,         110860.78,         113527.57,          96543.08,          88267.95,          76479.26,          99930.34,          99728.82,         100007.95,         110839.97,          93476.44,         113592.07,         148697.25,         141168.32,         116384.43,         103292.75,          92282.42,          73699.22,          63073.36,          55772.56,          57548.49,          53797.49,,,,,,,,,,,
Belgium,World,Textiles and Clothing,Export,Export(US$ Mil),           7408.29,           6344.32,           6692.75,           7023.05,           6834.50,           6840.32,           7176.28,           8763.08,           8422.89,           8257.00,           9177.56,           8441.05,          14687.54,          17801.20,          16767.31,          14712.35,          14131.08,          13968.12,          12433.45,          10987.95,          10304.20,          10346.96,          10843.88,,,,,,,,,,,
Belgium,World,Food Products,Export,Export(US$ Mil),          22373.83,          19302.10,          19147.24,          19168.15,          17904.71,          17203.41,          16261.04,          18342.23,          18027.06,          16869.36,          16897.05,          14696.76,          17369.66,          18696.61,          16548.50,          13837.89,          12753.42,          12170.86,          10615.69,           8897.89,           8093.46,           7722.38,           8320.71,,,,,,,,,,,
Belgium,Ireland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          21998.10,          14477.65,          14858.98,          18743.98,,,,,,,,,          21522.33,,,          20223.61,          20362.00,          17249.81,,          13908.40,,,,,,,,,,,,,,
Belgium,World,Consumer goods,Import,Import(US$ Mil),         138177.77,         109332.73,         118183.36,         126296.36,         115400.65,         103766.22,         100109.06,         122479.28,         127575.67,         115318.92,         124454.31,         105918.41,         151362.88,         187410.46,         161125.05,         142786.67,         129513.04,         114381.25,          97892.37,          78627.51,          63659.47,          59454.09,          53461.70,,,,,,,,,,,
Belgium,World,Transportation,Export,Export(US$ Mil),          40278.14,          36117.42,          39802.46,          37974.66,          36118.78,          33120.89,          30209.52,          37083.07,          35822.00,          33771.95,          35462.39,          29214.54,          37228.40,          52389.48,          50914.02,          45334.96,          43117.54,          42438.64,          36576.12,          30901.84,          29055.76,          25539.23,          26335.23,,,,,,,,,,,
Belgium,World,Raw materials,Import,Import(US$ Mil),          58279.61,          40040.13,          47193.69,          52477.47,          44545.79,          41219.97,          42158.75,          61892.22,          60015.48,          64100.97,          64911.43,          49963.18,          43717.85,          65616.98,          55622.27,          47133.34,          42125.10,          36211.50,          29779.83,          25272.06,          23069.83,          24825.98,          21930.22,,,,,,,,,,,
Belgium,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          83001.12,          56484.50,          64663.10,          72396.54,          61646.04,          54818.26,          55230.47,          79730.31,          82718.95,          82414.23,          83621.10,          67131.55,          63459.54,          89845.87,          72258.77,          64259.23,          56047.31,          47204.93,          37976.34,          31282.39,          30583.81,          30921.55,          27522.92,,,,,,,,,,,
Belgium,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          23950.13,          17692.87,          18938.41,          21448.91,          21280.86,          20610.66,          20033.80,          23955.39,          22540.97,          20652.20,          21410.45,          18287.50,          26466.01,          34012.02,          32639.37,          28861.55,          27392.32,          26613.12,          23246.74,          20749.90,          19140.93,          18642.16,          18005.83,,,,,,,,,,,
Belgium,World,Hides and Skins,Export,Export(US$ Mil),            647.09,            474.84,            722.72,            835.21,            830.80,            840.29,            884.31,            991.04,            938.24,            871.99,            925.39,            753.15,           1293.34,           1556.25,           1450.51,           1233.56,           1162.55,           1116.96,            963.79,            818.76,            777.55,            724.67,            703.40,,,,,,,,,,,
Belgium,...,...,Development,Trade Balance (current US$ Mil),,           2331.22,           3284.54,          -1433.21,           5210.74,           5681.31,           6553.36,           4377.96,           4161.94,            312.35,           -517.41,           8187.99,          10887.89,           3466.38,          19448.67,          16490.03,          15563.98,          18036.75,          17003.61,          14342.84,           8626.85,           6766.45,          10213.08,           9409.31,           9815.74,           8856.29,          11089.49,           8858.97,           7197.27,           5983.58,           3934.81,           3612.88,           3607.22,           3884.17
Belgium,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          53115.66,          39414.36,          42633.59,          45893.43,          43131.91,          39710.01,          39521.98,          51307.73,          50772.48,          47462.41,          52081.95,          44769.30,          66296.05,          82435.03,          72302.20,          61730.84,          57659.47,          52705.25,          44109.48,          35241.20,          33091.49,          33013.92,          31964.54,,,,,,,,,,,
Belgium,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,          10984.73,,           9977.20,,,,,,,,,,,
