Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Benin,World,Consumer goods,Export,Export(US$ Mil),             89.13,             86.70,             86.20,             98.92,             93.63,             57.48,             70.23,            203.46,             85.77,             86.17,             90.72,            153.13,             79.14,             50.50,             55.46,             54.83,             36.38,             29.36,             20.10,             15.81,              8.46,              7.48,              9.26,             33.32,,,,,,,,,,
Benin,World,Minerals,Export,Export(US$ Mil),             11.63,             18.39,             24.85,             19.82,             21.68,             16.91,             37.31,             43.71,             16.10,              4.60,              0.38,              0.31,              0.20,              0.24,              4.51,              9.89,             11.75,             11.91,              5.15,              1.64,              0.97,              2.11,              0.82,             99.67,,,,,,,,,,
Benin,World,Raw materials,Export,Export(US$ Mil),            734.71,            578.13,            617.86,            675.19,            514.75,            257.12,            377.11,            415.70,            346.46,            236.14,            178.61,            262.98,            235.84,            204.58,            168.17,            117.14,            197.03,            228.38,            214.11,            186.99,            149.31,            161.02,            201.38,            283.98,,,,,,,,,,
Benin,World,Capital goods,Export,Export(US$ Mil),             33.37,             41.37,             15.66,             52.06,             40.27,             16.98,             71.54,            191.48,             20.18,             10.63,             22.26,             29.53,             19.52,             50.80,              3.56,              1.60,              9.09,              2.98,              3.89,              1.77,              1.74,              2.10,              1.73,              1.16,,,,,,,,,,
Benin,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             51.29,,             88.29,             94.99,            102.98,,             46.63,,,,,,             13.32,,,,,,,,,,,,,,,,,,,,,
Benin,World,Plastic or Rubber,Export,Export(US$ Mil),              2.69,              3.23,              3.58,              2.20,              4.56,              3.63,              2.88,              2.86,              3.53,              1.68,              3.42,              1.64,              1.61,              1.56,              1.27,              0.74,              0.33,              0.46,              0.37,              0.67,              1.14,              0.07,              0.02,              0.08,,,,,,,,,,
Benin,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             94.39,,,,             88.97,             63.26,,             46.71,,,,,,             57.09,,,,,,,,,,
Benin,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             42.66,,,,,,,,,,,,,,,
Benin,World,Vegetable,Export,Export(US$ Mil),            127.72,            140.50,            176.68,            245.87,            178.03,             94.47,            125.60,            114.56,            121.32,            103.03,             82.86,            158.71,            107.45,             93.05,             59.31,             41.90,             40.69,             27.00,             32.23,             24.60,             19.98,             30.72,             29.85,             24.94,,,,,,,,,,
Benin,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            157.97,            343.63,            438.80,            322.99,            192.78,            449.72,            196.18,            109.86,,            184.32,,            102.26,            117.60,,             59.79,,,,,,,,,,,,,,,,,
Benin,World,Footwear,Export,Export(US$ Mil),              0.12,              0.12,              0.03,              0.03,              0.09,              0.11,              0.26,              0.10,              0.11,              0.11,              0.09,              0.01,              0.06,              0.09,              0.25,              0.07,              0.05,              0.24,              0.04,              0.06,              0.04,              0.01,              0.03,              0.01,,,,,,,,,,
Benin,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             48.14,             75.08,             74.26,             27.02,,             48.78,             70.21,             41.17,             46.09,            226.03,            169.74,             88.35,             38.06,             19.55,             16.57,,             12.76,             35.98,,,             12.85,             14.98,,,,,,,,,,
Benin,World,Miscellaneous,Export,Export(US$ Mil),              2.24,              1.17,              1.72,              1.82,              1.79,              2.36,              2.96,             15.52,              1.48,              0.94,              0.91,              0.84,              1.36,              1.05,              3.02,              0.53,              0.78,              0.60,              0.57,              0.45,             22.69,              0.29,              0.23,              0.35,,,,,,,,,,
Benin,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             11.67,             12.93,,,,,,,,,,,,,,,,,,
Benin,Cote d'Ivoire,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             68.96,             62.43,             62.46,             47.81,             40.71,             32.63,             50.86,             37.23,             90.16,,,,,,,,,,
Benin,Ghana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             68.37,             64.36,             63.92,             54.78,             40.32,             29.42,             26.70,,,,,,,,,,,,
Benin,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             10.51,,             15.72,,,,             10.99,             16.22,,,,,,,,,,
Benin,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            100.61,             56.14,             62.79,             73.21,,             27.21,,             95.42,            120.51,            115.27,             60.62,             53.48,             78.70,             70.07,             65.77,             53.93,            104.19,             93.07,             62.32,             16.35,,,,,,,,,,,,,,
Benin,...,...,Import,No. Of Import products,           2990.00,           2927.00,           2888.00,           2809.00,           2681.00,           2664.00,           2694.00,           2643.00,           2583.00,           2550.00,           2537.00,           2615.00,           2637.00,           2692.00,           2572.00,           2401.00,           2433.00,           2542.00,           2593.00,           2630.00,           2551.00,           2371.00,           2789.00,           2458.00,,,,,,,,,,
