Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bahrain,World,Consumer goods,Export,Export(US$ Mil),           2005.80,           5223.84,           7985.56,           8829.22,           7588.18,           5688.37,           8145.27,          11410.68,          13347.47,          11391.77,          16757.06,          12477.67,           6145.81,           9497.83,          11233.82,           9544.64,           8186.75,           5936.68,           5122.25,           4489.92,           4184.71,            405.56,,,,,,,,,,,,
Bahrain,World,Minerals,Export,Export(US$ Mil),           2361.98,            816.49,           1364.23,            992.39,            866.93,            781.92,            396.10,            600.70,            620.28,           1377.69,           2618.08,           1192.05,            262.28,            636.35,            197.21,            143.76,            191.52,            200.80,            243.14,            199.18,            241.46,            198.39,,,,,,,,,,,,
Bahrain,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            380.55,            240.89,            260.26,            280.19,,,,,,,,,,,,,,
Bahrain,World,Raw materials,Export,Export(US$ Mil),           2571.15,           1010.77,           1571.15,           1161.89,            992.71,            864.90,            485.45,           6440.68,            776.08,           1499.86,           2867.24,           1265.38,            308.21,            703.46,            250.71,            194.18,            241.26,            240.75,            277.50,            247.04,            270.48,            228.05,,,,,,,,,,,,
Bahrain,World,Capital goods,Export,Export(US$ Mil),            892.91,            821.56,            698.29,            549.56,            563.66,           1185.19,           1793.94,           1347.04,           1476.19,            778.83,            501.49,            373.65,            368.35,            391.18,            167.00,            104.47,            131.75,            114.73,             87.82,             71.26,             54.33,             54.67,,,,,,,,,,,,
Bahrain,World,Plastic or Rubber,Export,Export(US$ Mil),            328.59,            266.94,            236.58,            202.80,            198.65,            233.56,            299.99,            248.56,            177.31,            144.24,            123.32,             92.03,             91.66,            124.19,             61.45,             51.87,             54.76,             40.25,             33.40,             33.39,             32.27,             29.31,,,,,,,,,,,,
Bahrain,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            241.63,,,,            181.44,,,,,,,,,,,,
Bahrain,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            807.64,            895.86,           1123.47,           1035.05,            785.66,            784.83,            589.23,            753.91,            580.27,           1015.77,            602.23,            482.29,            571.34,            405.00,            445.64,            315.89,            225.60,,,,,,,,,,,,,
Bahrain,World,Vegetable,Export,Export(US$ Mil),             25.02,             31.15,             16.28,             22.99,             16.27,             14.68,             14.16,              9.41,              8.97,             12.06,              9.88,              7.17,              8.26,              7.73,              5.32,              6.21,              4.97,              6.29,              8.58,             10.20,              6.05,             18.84,,,,,,,,,,,,
Bahrain,World,Footwear,Export,Export(US$ Mil),             16.85,             12.65,             17.40,             25.62,             14.99,             79.48,            162.32,              9.57,             14.13,              2.02,              1.26,              0.42,              0.45,              0.28,              0.14,              0.08,              0.37,              0.08,              0.11,              0.05,              2.52,              2.99,,,,,,,,,,,,
Bahrain,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1045.20,            826.55,            927.01,           1308.89,           1314.52,           1051.27,           1135.79,           1071.89,           1051.03,            921.74,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            114.79,            200.40,            199.26,            161.92,            179.21,            140.80,,,,,,,,,,,,
Bahrain,World,Miscellaneous,Export,Export(US$ Mil),            204.26,            135.19,            198.58,            170.81,            145.91,            195.57,            309.86,            442.41,            142.34,             64.64,             51.93,             66.62,             54.24,             67.30,             51.22,             34.94,             41.28,             25.26,             19.04,             20.22,             18.60,             12.66,,,,,,,,,,,,
Bahrain,...,...,Import,No. Of Import products,           4002.00,           4046.00,           4124.00,           4108.00,           4126.00,           4118.00,           4125.00,           4130.00,           4117.00,           4130.00,           4088.00,           3959.00,           3897.00,           4271.00,           3875.00,           3739.00,           4079.00,           3834.00,           3944.00,           3926.00,           4026.00,           3974.00,,,,,,,,,,,,
Bahrain,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            402.88,            220.06,,            134.02,            159.24,,            118.98,            112.91,,,,,,,,,,,,,,,
Bahrain,...,...,Export,No. Of Export products,           2729.00,           2676.00,           2781.00,           2743.00,           2689.00,           2957.00,           2964.00,           2826.00,           2550.00,           2302.00,           1915.00,           1719.00,           1547.00,           1600.00,           1312.00,           1342.00,           1602.00,           1217.00,           1276.00,           1329.00,           1055.00,           1281.00,,,,,,,,,,,,
Bahrain,...,...,Export,No. Of Export partners,            157.00,            149.00,            141.00,            137.00,            146.00,            141.00,            132.00,            139.00,            132.00,            123.00,            122.00,            129.00,            122.00,            100.00,            107.00,            107.00,             94.00,             94.00,             94.00,             99.00,             79.00,             89.00,,,,,,,,,,,,
Bahrain,Qatar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            542.97,,           1200.78,,            660.94,            778.25,            619.45,            229.90,            289.82,,,,,,,,,,,,,,,,,,,,
Bahrain,World,Intermediate goods,Export,Export(US$ Mil),           6941.87,           4494.35,           3905.39,           3797.39,           3304.09,           2799.72,           3356.60,           4246.38,           4427.01,           2949.39,           2435.47,           1934.01,           1559.48,           2488.51,           2011.53,           1817.50,           1677.89,           1223.79,           1143.30,            985.92,           1041.34,           1027.78,,,,,,,,,,,,
Bahrain,World,Textiles and Clothing,Export,Export(US$ Mil),            110.23,            111.28,            191.87,            224.16,            229.30,            448.09,            911.64,            278.46,            226.32,            167.23,            147.15,            178.96,            104.58,            130.61,            120.83,             84.60,            134.87,            247.63,            284.24,            457.95,            422.39,            337.47,,,,,,,,,,,,
Bahrain,World,Food Products,Export,Export(US$ Mil),            292.37,            330.67,            352.33,            360.14,            320.58,            272.42,            365.14,            383.13,            543.96,            265.37,            226.76,            157.35,            111.95,            135.59,             31.20,             30.25,             32.66,             27.97,             38.37,             26.38,             24.02,             24.17,,,,,,,,,,,,
Bahrain,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1997.20,,            854.08,,,,,,,,           1257.98,           1828.59,,,,,,,,,,,,,,,,,,,,,,
Bahrain,World,Consumer goods,Import,Import(US$ Mil),           4518.77,           4499.40,           4688.71,           5363.38,           5037.45,           4977.57,           5298.70,           5362.69,           4517.47,           4497.31,           3612.32,           3395.40,           2734.32,           4065.07,           2289.33,           1733.37,           2079.66,           1565.29,           1579.51,           1389.49,           1135.92,            995.65,,,,,,,,,,,,
Bahrain,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           5771.85,           3433.09,           5944.13,           6898.30,           5520.71,           3842.91,,,           9748.47,           9893.88,          15524.84,          11506.05,           5373.64,           8629.31,          10799.01,           9217.54,           7786.86,           5552.74,           4681.62,           3957.23,           3682.63,           4489.73,,,,,,,,,,,,
Bahrain,World,Transportation,Export,Export(US$ Mil),            602.19,            601.49,            560.27,            474.39,            543.26,            424.71,            671.60,            826.90,           1282.53,            435.22,            352.86,            250.72,            210.78,            235.60,            148.27,            118.15,            140.14,             73.04,             91.93,             23.93,             22.85,             24.20,,,,,,,,,,,,
Bahrain,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2460.69,           1943.09,           2027.45,           1910.68,           1851.21,           2257.95,           9289.38,           3540.32,           3786.41,           1894.26,           1643.08,           1159.64,            973.41,           1438.88,            727.47,            553.62,            649.02,            476.23,            468.95,            327.95,            304.66,            245.17,,,,,,,,,,,,
Bahrain,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1840.78,           1751.02,           2065.48,           1877.52,           1653.77,           1429.74,           1577.64,           1615.88,           1335.87,           1360.00,           1367.04,           1178.04,            817.95,           1109.84,            479.75,            330.45,,,,,,,,,,,,,,,,,,
Bahrain,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1623.38,           1018.74,           1435.56,            877.93,            829.68,            657.72,            957.17,           3496.13,           1654.41,            656.34,            599.48,            366.83,            335.56,            415.84,            203.17,,            158.45,,,             97.74,             85.23,,,,,,,,,,,,,
Bahrain,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            729.87,,,,,,            311.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,Oman,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            479.37,            439.27,            654.59,            489.12,,,,            558.79,,            768.21,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,World,Raw materials,Import,Import(US$ Mil),           3104.83,           4405.00,           7193.38,           7337.88,           5499.65,           4197.74,           5156.55,           9419.53,           9689.98,           4791.04,           9493.33,           8200.44,           5780.80,           8778.88,           6136.79,           5209.93,           4649.91,           3074.66,           2386.38,           2005.59,           1828.94,            280.08,,,,,,,,,,,,
Bahrain,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           3260.79,,,,,,,,,,,,,,             93.55,,,,,,,,,,,,
Bahrain,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,           3358.58,,           5862.56,           5147.57,           7851.76,           5864.12,           4901.63,           4169.67,           2765.15,           2066.75,           1672.34,           1538.33,           2051.34,,,,,,,,,,,,
Bahrain,World,Hides and Skins,Export,Export(US$ Mil),              4.20,              4.63,              8.15,             10.51,             11.80,             14.21,             27.48,              4.75,              6.74,              7.44,              5.36,              1.09,              0.47,              0.62,              1.22,              1.43,              1.75,              1.75,              1.49,              2.02,              2.24,              1.32,,,,,,,,,,,,
