Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Belarus,World,Consumer goods,Export,Export(US$ Mil),           9179.72,          10791.34,          13181.91,          14180.71,          12322.00,           9859.27,          12142.16,          17245.78,          17793.09,          22826.16,          19515.55,          11923.90,          11069.68,          15883.83,          12077.44,          10389.55,           7929.23,           6315.52,           4274.80,           3365.99,           3092.22,           3161.45,           2112.95,           2675.88,,,,,,,,,,
Belarus,World,Minerals,Export,Export(US$ Mil),            185.12,            207.51,            258.06,            269.20,            269.69,            205.20,            166.47,            243.19,            233.02,            204.92,            160.15,            104.62,             91.58,            100.95,            132.20,            104.16,             98.59,             84.15,             62.32,             55.53,             29.96,             29.11,             26.01,             43.79,,,,,,,,,,
Belarus,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1504.47,           1680.08,           1776.63,           1813.17,           1708.01,           1318.68,           1384.40,           2410.80,           3034.00,           2729.50,           2553.01,           2385.26,           2211.06,           2791.66,           2171.43,           1669.93,           1121.07,           1081.04,            820.67,            693.08,            604.08,            587.56,            692.88,            757.61,,,,,,,,,,
Belarus,World,Raw materials,Export,Export(US$ Mil),           2073.65,           2290.84,           2835.65,           2729.66,           2374.91,           2070.00,           2302.89,           3148.42,           3278.13,           3137.00,           2950.38,           1212.53,           1592.80,           1766.35,           1125.41,           1094.23,            945.23,            641.95,            463.51,            373.80,            322.24,            270.20,            220.54,            274.35,,,,,,,,,,
Belarus,World,Capital goods,Export,Export(US$ Mil),           3728.06,           4551.78,           4833.03,           4755.32,           4582.47,           3645.51,           3210.79,           4913.86,           6149.89,           6875.36,           6163.81,           4239.85,           3032.75,           5697.15,           4973.04,           3640.83,           2932.40,           2812.32,           2206.38,           1868.64,           1802.82,           1734.76,           1600.11,           1978.92,,,,,,,,,,
Belarus,World,Plastic or Rubber,Export,Export(US$ Mil),           1115.02,           1365.03,           1481.55,           1459.71,           1406.99,           1249.39,           1189.97,           1562.20,           1810.62,           1833.43,           1555.87,           1235.50,            912.78,           1205.25,           1079.58,            903.90,            531.52,            488.15,            371.94,            306.64,            344.99,            339.82,            306.82,            397.77,,,,,,,,,,
Belarus,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1236.25,,           1202.56,           1334.80,           1181.29,           1083.53,           2431.80,           1578.89,           1347.69,,,            786.57,           1154.87,            819.06,            765.04,            578.92,            474.97,            348.49,            221.80,            201.97,            215.77,            212.38,            282.84,,,,,,,,,,
Belarus,World,Vegetable,Export,Export(US$ Mil),           1222.86,            998.92,            938.26,            840.80,            657.92,            513.58,            686.99,            700.02,            569.74,            426.78,            322.83,            230.71,            223.62,            181.57,            145.28,            108.98,             80.12,             92.83,            100.45,             70.98,             76.41,             81.07,             78.60,            115.35,,,,,,,,,,
Belarus,World,Footwear,Export,Export(US$ Mil),            241.04,            209.68,            229.64,            225.18,            191.98,             62.68,             48.70,             82.59,             88.39,             75.03,             64.28,             55.98,             48.05,             74.14,            120.33,            101.90,             86.76,            113.89,             98.67,             92.40,             93.13,             94.74,            102.61,            135.23,,,,,,,,,,
Belarus,World,Miscellaneous,Export,Export(US$ Mil),          17694.44,           2906.49,           2687.09,           2246.65,           1760.80,           1794.76,           1797.28,           2100.05,           2586.76,           2812.13,           2991.09,           1719.77,           1006.55,           1397.63,            874.65,            681.96,            626.04,            635.72,            534.25,            462.39,            403.28,            477.08,            510.93,            471.00,,,,,,,,,,
Belarus,...,...,Import,No. Of Import products,           3795.00,           4200.00,           4222.00,           4217.00,           4228.00,           4234.00,           4217.00,           4244.00,           4237.00,           4214.00,           4218.00,           4180.00,           4142.00,           4188.00,           4376.00,           4363.00,           4362.00,           4435.00,           4417.00,           4405.00,           4445.00,           4399.00,           4286.00,           4302.00,,,,,,,,,,
Belarus,...,...,Export,No. Of Export products,           3470.00,           3776.00,           3764.00,           3741.00,           3689.00,           3676.00,           3504.00,           3446.00,           3403.00,           3368.00,           3297.00,           2964.00,           2798.00,           2903.00,           3005.00,           3023.00,           3124.00,           3564.00,           3514.00,           3543.00,           3562.00,           3466.00,           3525.00,           3522.00,,,,,,,,,,
Belarus,...,...,Export,No. Of Export partners,            163.00,            168.00,            166.00,            171.00,            165.00,            161.00,            160.00,            158.00,            157.00,            159.00,            155.00,            154.00,            140.00,            138.00,            142.00,            137.00,            136.00,            139.00,            137.00,            125.00,            131.00,            123.00,            121.00,            119.00,,,,,,,,,,
Belarus,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,           1298.10,           1443.49,           1102.86,            936.34,           1073.74,           1640.62,           1736.11,           1725.49,           1819.41,,            987.43,,,,,,            421.18,            347.94,,,            215.46,            199.55,,,,,,,,,,
Belarus,World,Intermediate goods,Export,Export(US$ Mil),           8494.62,           9618.80,          10250.29,          10540.63,           8781.03,           6992.09,           7968.43,           9703.77,           8453.57,          11364.58,          10645.89,           6879.66,           5167.05,           8692.60,           5632.48,           4301.21,           3850.87,           3562.37,           2671.10,           2097.62,           2055.71,           1874.40,           1721.73,           2017.88,,,,,,,,,,
