Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Belize,World,Consumer goods,Export,Export(US$ Mil),             70.75,             58.93,             69.27,             75.54,             89.57,             89.25,             90.52,             91.83,             88.83,             96.37,             71.62,             59.88,             70.47,             61.22,             76.36,             62.62,             61.38,             65.44,             58.75,              3.71,              3.78,             92.28,             12.30,             57.64,             63.79,             58.29,             57.11,             45.92,             44.96,             60.74,,,,
Belize,World,Minerals,Export,Export(US$ Mil),,              0.00,              0.00,,              0.00,              0.00,              0.10,              0.79,              2.01,              2.17,              1.24,              0.16,              0.00,              0.01,              0.03,              0.00,              0.04,              0.02,              0.00,              0.00,              0.10,              0.02,             29.09,              0.13,              0.18,              0.18,              0.15,              0.17,              0.00,              0.00,,,,
Belize,World,Raw materials,Export,Export(US$ Mil),             91.61,             72.38,             76.30,             75.30,             76.11,             35.94,             70.26,            115.70,            190.20,            185.14,            224.68,            178.84,            127.26,            187.98,            128.29,            130.90,             78.80,             93.82,             91.69,              0.53,             26.06,             61.70,              3.79,             42.42,             45.02,             32.88,             38.01,             28.91,             21.39,             18.12,,,,
Belize,World,Capital goods,Export,Export(US$ Mil),              3.12,              1.66,              3.96,              7.57,              8.87,              8.22,              6.71,             15.56,             10.13,              7.54,              7.77,              4.82,              3.13,              0.06,              3.11,              1.80,              0.98,              4.20,              6.56,              0.04,              0.13,              2.71,              1.34,              5.54,              4.44,              4.10,              3.66,              7.54,              3.71,              5.73,,,,
Belize,World,Plastic or Rubber,Export,Export(US$ Mil),              0.16,              0.10,              0.55,              1.02,              3.39,              5.30,              2.94,              1.47,              0.38,              0.31,              0.12,              0.11,              0.02,              0.00,              0.03,              0.07,              0.01,              0.29,              0.03,              0.03,              0.01,              0.08,              0.67,              0.29,              0.27,              0.23,              0.11,              0.03,              0.14,              0.25,,,,
Belize,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             10.43,             11.95,             15.22,             11.78,             16.13,             18.86,             19.63,             23.18,,,,
Belize,World,Vegetable,Export,Export(US$ Mil),             59.11,             56.05,             51.98,             49.11,             53.17,             14.73,             20.37,             20.81,             73.52,             68.58,             58.15,             57.76,             45.22,             49.66,             38.93,             45.92,             41.50,             41.70,             38.72,              0.07,             17.50,             31.95,              3.19,             24.87,             32.15,             22.77,             25.09,             18.40,             16.04,             11.83,,,,
Belize,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             38.07,,,,,,,,,,,,,,,,,,,
Belize,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             96.23,             51.34,             99.89,,             70.45,             65.07,             27.23,             29.19,,,             21.56,,,             26.39,,             12.55,             14.51,,,,,,
Belize,World,Footwear,Export,Export(US$ Mil),              0.01,              0.00,              0.26,              0.92,              0.55,              0.25,              0.38,              0.52,              0.01,              0.01,              0.03,              0.00,              0.00,              0.00,              0.03,              0.15,              0.02,              0.02,              0.00,,,              0.06,              0.00,              0.00,,              0.00,              0.00,              0.03,              0.02,              0.03,,,,
