Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bermuda,World,Consumer goods,Export,Export(US$ Mil),              3.42,              4.30,              8.48,             13.05,              7.40,              5.76,              5.74,              5.30,             11.36,              5.63,,,,,,,,,,,,,,,,,              0.95,,,,,,,
Bermuda,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              0.16,              1.87,,,,              0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,World,Minerals,Export,Export(US$ Mil),              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             17.70,,,,,,,,,,,,             13.69,,,,,,,,,,,,,,,,,,,,,
Bermuda,World,Raw materials,Export,Export(US$ Mil),              0.06,              0.05,              0.20,              0.24,              0.18,              0.18,              0.16,              0.15,              0.27,              0.08,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,World,Capital goods,Export,Export(US$ Mil),             21.38,              4.15,             16.51,              7.39,              2.37,              2.01,              1.41,              5.86,              5.21,              3.31,,,,,,,,,,,,,,,,,              0.01,,,,,,,
Bermuda,World,Plastic or Rubber,Export,Export(US$ Mil),              0.09,              0.19,              0.19,              0.21,              0.11,              0.06,              0.06,              0.45,              0.16,              0.06,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             62.61,             45.49,             42.27,             37.30,             43.56,             31.39,             36.56,             31.39,             34.09,             31.82,             27.63,             35.90,             46.69,             39.81,             36.77,             36.44,             32.25,,,,,,,,             29.09,,             31.80,,,,,,,
Bermuda,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             17.96,             15.98,,,,,,,,             19.89,,             25.61,,,,,,,
Bermuda,World,Vegetable,Export,Export(US$ Mil),              0.01,              0.02,              0.03,              0.06,              0.02,              0.02,              0.01,              0.01,              0.01,              0.01,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,World,Footwear,Export,Export(US$ Mil),              0.00,              0.00,              0.01,              0.02,              0.02,              0.00,              0.06,              0.00,              0.00,              0.06,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             72.04,             71.49,             97.72,             97.32,            102.22,            109.75,            136.96,            124.58,            121.57,             96.13,            107.34,             77.89,             69.63,             76.52,             82.69,             71.11,             39.04,,,,,,,,             31.30,,             26.53,,,,,,,
Bermuda,World,Miscellaneous,Export,Export(US$ Mil),              4.32,             10.63,              1.85,              4.69,              3.19,              1.31,              3.09,              3.80,             13.87,              1.98,,,,,,,,,,,,,,,,,             61.98,,,,,,,
Bermuda,...,...,Import,No. Of Import products,           3450.00,           3385.00,           3394.00,           3438.00,           3487.00,           3456.00,           3419.00,           3344.00,           3377.00,           3351.00,           3234.00,           3240.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,            196.00,,            196.00,,,,,,,
Bermuda,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             35.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,...,...,Export,No. Of Export products,            459.00,            367.00,            677.00,            824.00,            539.00,            423.00,            431.00,            415.00,            386.00,            333.00,,,,,,,,,,,,,,,,,             10.00,,,,,,,
Bermuda,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              0.97,,,              0.26,,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,...,...,Export,No. Of Export partners,             32.00,             26.00,             39.00,             32.00,             44.00,             14.00,             24.00,             22.00,             19.00,             16.00,,,,,,,,,,,,,,,,,              7.00,,,,,,,
Bermuda,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              1.16,              0.25,,,,,,              0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             14.25,             14.73,,,,,,,,,,              7.46,,,,,,,,,
Bermuda,World,Intermediate goods,Export,Export(US$ Mil),              0.73,             10.55,              1.34,              1.01,              0.90,              0.19,              0.35,              0.50,              4.86,              0.58,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,World,Textiles and Clothing,Export,Export(US$ Mil),              0.12,              0.07,              1.65,              0.50,              0.09,              0.05,              0.12,              0.71,              0.05,              0.10,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,World,Food Products,Export,Export(US$ Mil),              2.25,              3.12,              3.66,              4.14,              5.41,              5.30,              3.68,              2.68,              0.23,              2.17,,,,,,,,,,,,,,,,,              0.95,,,,,,,
Bermuda,World,Consumer goods,Import,Import(US$ Mil),            645.22,            506.25,            630.91,            671.70,            629.93,            598.60,            578.41,            624.04,            645.76,            520.01,            510.09,            493.38,,,,,,,,,,,,,            284.39,,            297.27,,,,,,,
Bermuda,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              4.23,,              0.07,,              1.41,              0.20,              2.95,,,,,,,,,,,,,,,,,             27.70,,,,,,,
