Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bolivia,World,Consumer goods,Export,Export(US$ Mil),           2825.10,           2365.45,           3130.67,           3369.33,           2976.35,           2451.29,           4124.16,           6385.57,           6558.17,           5809.81,           4168.65,           3154.41,           2305.28,           3561.43,           2320.82,           1963.01,           1354.91,            915.90,            604.21,            466.86,            428.55,            329.01,            228.92,            256.60,            275.06,            214.74,            273.91,            364.77,            217.91,            209.52,,,,
Bolivia,World,Minerals,Export,Export(US$ Mil),           2652.60,           1538.48,           2111.55,           2411.77,           2400.92,           1899.09,           1739.45,           2038.67,           1973.21,           2075.27,           2425.03,           1859.52,           1497.31,           1519.93,           1061.09,            792.47,            348.63,            296.44,            228.28,            198.59,            188.96,            260.92,            226.98,            242.68,            278.76,            237.16,            243.46,            184.69,            193.17,            274.34,,,,
Bolivia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             85.57,,,,
Bolivia,World,Raw materials,Export,Export(US$ Mil),           3234.17,           1979.83,           2523.07,           2934.41,           2838.50,           2418.37,           2438.69,           3281.34,           3442.12,           3976.12,           3175.47,           2314.14,           1902.14,           2099.89,           1520.49,           1307.26,            839.62,            603.01,            417.67,            322.32,            287.17,            407.74,            375.31,            400.55,            479.97,            434.89,            419.56,            304.56,            259.74,            331.30,,,,
Bolivia,World,Capital goods,Export,Export(US$ Mil),             81.79,            109.69,            121.01,             89.47,            134.42,            116.59,            169.99,            119.03,            110.09,            164.23,             63.37,             84.87,             81.28,            112.30,             56.61,            133.19,             70.86,             61.13,             79.88,             46.21,            110.83,            214.52,            354.29,            198.50,             14.63,             76.52,             37.81,             33.10,             18.00,             28.47,,,,
Bolivia,World,Plastic or Rubber,Export,Export(US$ Mil),              9.88,              4.64,              4.14,              3.42,              4.16,              4.28,              5.32,             11.42,             11.28,              8.33,              5.69,              9.86,              5.22,              5.74,              7.49,              7.13,              6.89,              3.84,              2.06,              2.25,              2.45,              1.24,              2.48,              2.62,              1.72,              0.62,              0.66,              0.24,              0.30,              0.59,,,,
Bolivia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            598.95,,,            501.74,            359.37,            245.81,,,,            101.31,,            105.82,            156.96,            462.94,            236.13,            199.09,            171.67,            181.79,            128.83,            135.38,,,,
Bolivia,World,Vegetable,Export,Export(US$ Mil),           1162.22,            729.12,            670.08,            750.70,            698.16,            786.85,            810.88,           1029.38,           1167.98,            946.56,            710.83,            615.60,            585.71,            600.55,            419.74,            339.64,            322.29,            293.50,            236.68,            190.08,            172.33,            244.24,            200.77,            202.88,            206.55,            179.65,            149.70,            133.23,             74.42,             54.42,,,,
Bolivia,World,Footwear,Export,Export(US$ Mil),             13.08,              7.89,              9.90,              9.78,              9.21,              8.82,              9.68,              8.34,              7.98,              8.45,              7.83,              6.37,              4.97,              5.60,              5.97,              3.76,              2.65,              1.37,              0.60,              0.44,              1.10,              1.19,              1.20,              1.23,              2.93,              1.91,              1.57,              1.63,              2.24,              0.64,,,,
Bolivia,World,Miscellaneous,Export,Export(US$ Mil),             23.65,             14.42,             19.80,             17.52,             24.33,             21.94,             28.29,             47.16,             21.45,             36.72,             28.00,             50.20,             26.60,             45.57,             35.73,             23.18,             21.44,             26.98,             29.25,             21.97,             31.17,             30.07,             34.39,             23.08,              8.79,              7.57,              8.63,              6.74,              5.68,              4.31,,,,
Bolivia,Chile,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            630.33,,,,,,,,,,,,,,,            235.99,            164.19,            113.08,            125.45,            126.12,            144.80,            170.29,            129.77,            141.81,            122.48,            110.58,            104.72,             93.89,             88.48,,,,,
Bolivia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            480.75,            468.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,...,...,Import,No. Of Import products,           3874.00,           3849.00,           3910.00,           3930.00,           3927.00,           3952.00,           3958.00,           4004.00,           3971.00,           4018.00,           4001.00,           3977.00,           3937.00,           3898.00,           3940.00,           4057.00,           4059.00,           4055.00,           4009.00,           3977.00,           4036.00,           4144.00,           3797.00,           3764.00,           3692.00,           3681.00,           3754.00,           3818.00,           3660.00,           3652.00,,,,
Bolivia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             48.75,             82.47,,,,
Bolivia,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1849.98,            717.58,            742.02,            740.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,...,...,Export,No. Of Export products,           1424.00,           1285.00,           1353.00,           1456.00,           1384.00,           1418.00,           1444.00,           1440.00,           1423.00,           1520.00,           1467.00,           1494.00,           1401.00,           1569.00,           1540.00,           1590.00,           1675.00,           1463.00,           1462.00,           1387.00,           1381.00,           1411.00,           1198.00,           1046.00,           1005.00,            951.00,            875.00,            689.00,            573.00,            534.00,,,,
Bolivia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            165.91,            214.97,            176.55,            163.44,,,            115.46,,             81.00,,,,,,,
Bolivia,...,...,Export,No. Of Export partners,            113.00,            113.00,            120.00,            116.00,            110.00,            112.00,            114.00,            113.00,            106.00,            108.00,            125.00,            118.00,            108.00,             97.00,            102.00,             96.00,             93.00,             94.00,             89.00,             79.00,             85.00,             75.00,             82.00,             78.00,             74.00,             75.00,             76.00,             74.00,             68.00,             74.00,,,,
Bolivia,World,Intermediate goods,Export,Export(US$ Mil),           4937.45,           2576.61,           3156.38,           2715.58,           2416.49,           2271.29,           2188.81,           3247.08,           2259.90,           2037.50,           1804.40,           1495.63,           1195.19,           1280.01,            988.19,            826.15,            680.14,            682.62,            572.23,            536.83,            523.32,            521.13,            431.71,            455.90,            491.84,            350.25,            435.13,            411.35,            305.93,            195.16,,,,
Bolivia,World,Textiles and Clothing,Export,Export(US$ Mil),             16.51,             11.34,             19.47,             22.91,             16.74,             15.15,             34.30,             62.11,             45.28,             74.76,             55.40,             88.92,             67.14,            126.08,             70.79,             69.87,             70.43,             71.01,             52.85,             33.30,             42.82,             55.80,             59.75,             47.96,             70.65,             61.80,             49.77,             36.65,             24.90,             20.89,,,,
Bolivia,World,Food Products,Export,Export(US$ Mil),            895.26,            671.58,            617.01,            684.46,            521.53,            679.04,            630.48,            816.32,            861.08,            644.39,            469.37,            469.19,            502.98,            407.75,            332.09,            280.39,            267.02,            324.64,            262.93,            241.20,            220.56,            171.83,            142.03,            158.13,            166.08,            134.53,             76.32,             92.67,             50.48,             56.38,,,,
Bolivia,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1707.19,           1198.95,           1574.08,           1618.61,           1566.90,           1496.05,           1613.53,           1665.96,           1605.22,           1524.45,           1395.48,           1010.17,            788.58,            925.26,            719.12,            587.13,            523.53,            493.45,            347.96,            392.45,            276.44,            284.36,            250.47,            256.78,            227.58,            181.61,            174.18,            178.57,            149.87,            163.96,,,,
