Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Brazil,World,Consumer goods,Export,Export(US$ Mil),          31178.22,          24785.03,          27503.53,          27865.62,          28632.25,          24704.22,          24130.49,          28229.40,          32202.80,          31777.94,          32533.15,          29245.36,          25192.28,          32730.89,          30449.95,          27182.85,          23590.62,          19340.88,          15747.13,          13362.29,          13606.84,          12550.46,          10792.92,          11911.25,          11638.99,          10516.40,           9965.59,           9290.56,           9137.88,           8234.99,           6333.83,           6537.19,           6814.90,
Brazil,World,Minerals,Export,Export(US$ Mil),          49698.20,          29505.65,          26413.96,          24372.41,          23080.39,          16480.51,          17365.47,          29185.78,          35882.79,          34012.05,          44993.85,          31513.16,          15044.10,          19495.01,          12758.88,          10403.01,           8560.12,           5712.68,           4052.53,           3480.64,           3395.79,           3541.27,           3165.84,           3659.10,           3231.09,           3080.78,           2885.88,           2630.62,           2606.69,           2657.68,           3008.87,           2804.06,           2589.59,
Brazil,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11921.30,           9682.98,          11126.27,          11303.28,           9776.47,           9405.01,          10719.14,          14324.75,          15738.60,          14718.63,          15776.95,          12988.65,          10150.37,          12463.10,           8979.77,           6724.99,           6361.68,           5284.81,           4368.47,           4603.49,           5052.17,           4666.02,           4900.82,           5462.81,           5348.77,           5031.49,           5422.67,           3613.60,           2421.92,           2018.50,           2029.94,           1830.97,           1594.27,
Brazil,World,Raw materials,Export,Export(US$ Mil),         156478.49,         112936.67,         112304.62,         111795.09,          95246.49,          73139.31,          80136.90,         101218.37,         105184.34,         105623.46,         115383.52,          84599.57,          56651.30,          67739.42,          48051.48,          37687.08,          31716.30,          25146.74,          18517.89,          14646.49,          13176.81,          10831.81,          10225.13,          11129.72,          11682.37,           9038.34,           8360.26,           8716.17,           7173.58,           6942.80,           7019.93,           6713.06,           7130.17,
Brazil,World,Capital goods,Export,Export(US$ Mil),          22950.14,          17869.92,          25433.12,          29634.19,          29094.62,          26087.27,          25511.68,          27410.49,          30082.84,          33260.63,          33098.91,          28357.54,          22489.49,          34877.68,          31342.30,          28356.33,          25956.27,          19262.65,          13828.95,          12317.63,          13068.82,          13106.16,           9899.39,          10533.93,          10005.62,           8289.68,           7865.02,           7987.83,           7035.71,           6220.37,           5069.92,           4854.05,           5490.14,
Brazil,World,Plastic or Rubber,Export,Export(US$ Mil),           5234.48,           3859.54,           4706.13,           5066.21,           5347.48,           4982.89,           4861.29,           5290.77,           5431.58,           5955.86,           6373.53,           5190.19,           4319.52,           4897.98,           4933.50,           4167.00,           3436.14,           2595.16,           2109.69,           1559.67,           1537.66,           1722.47,           1421.10,           1480.35,           1604.92,           1458.88,           1504.24,           1389.42,           1239.60,           1072.05,            891.19,            804.39,            877.90,
Brazil,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7018.69,,,           6393.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,           5583.60,           7158.30,,           4047.84,           3572.49,,           2631.01,           2450.17,           3203.30,           3113.56,           2707.95,           3430.67,           3809.62,           2917.44,           2726.36,           1937.86,           1663.88,           1260.53,           1349.56,           1611.68,           1516.02,
Brazil,World,Vegetable,Export,Export(US$ Mil),          54892.23,          43599.07,          41539.41,          45333.11,          38759.18,          31299.86,          35789.88,          37179.57,          38012.71,          33932.38,          32697.55,          21957.38,          19694.96,          21581.64,          15505.00,          11727.26,          10567.93,          10449.04,           8131.08,           6017.53,           5662.64,           4833.00,           5222.48,           6037.46,           6524.20,           4202.38,           4481.98,           4942.00,           2861.18,           2617.20,           2537.97,           2831.82,           3572.10,
Brazil,World,Footwear,Export,Export(US$ Mil),           1053.88,            745.51,           1097.29,           1140.43,           1283.48,           1169.35,           1118.62,           1243.90,           1268.78,           1291.79,           1503.20,           1652.98,           1480.60,           2030.94,           2045.60,           1971.11,           1991.90,           1901.89,           1625.09,           1518.58,           1686.53,           1619.77,           1344.81,           1390.03,           1598.17,           1654.40,           1504.07,           1632.03,           1953.19,           1479.68,           1248.14,           1188.30,           1317.06,
