Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Barbados,World,Consumer goods,Export,Export(US$ Mil),            255.17,            238.66,            319.33,            343.89,            360.99,            386.83,            351.16,            337.29,            337.93,            426.47,            388.73,            216.61,            211.06,            325.87,            135.70,            273.33,            217.41,             77.59,             93.29,             96.71,            119.76,            117.32,             99.55,            110.74,            120.11,,,,,,,,,
Barbados,World,Minerals,Export,Export(US$ Mil),             14.06,             15.84,             25.40,             20.67,             16.60,             18.78,             18.13,             19.65,             21.02,             10.39,             11.72,             16.15,             17.91,             16.60,             15.55,             16.84,             17.67,             14.05,             13.19,             11.63,              8.93,              9.13,              8.33,              8.28,              7.12,,,,,,,,,
Barbados,World,Raw materials,Export,Export(US$ Mil),             15.68,             18.90,             24.78,             18.31,             20.26,             16.34,             22.96,             37.65,             34.73,             39.65,             28.06,              8.32,             19.01,             36.11,             82.50,             34.72,             25.43,             22.28,             18.15,             12.12,              6.11,              6.18,              6.17,              6.53,              7.64,,,,,,,,,
Barbados,World,Capital goods,Export,Export(US$ Mil),             26.51,             28.39,             25.44,             29.43,             35.64,             35.71,             43.82,             38.48,             33.08,             46.12,             32.73,             31.67,             37.85,             34.17,             35.32,             63.81,             46.60,             33.49,             35.31,             33.87,             40.25,             48.45,             47.66,             41.00,             45.89,,,,,,,,,
Barbados,World,Plastic or Rubber,Export,Export(US$ Mil),              6.79,              5.21,              5.49,              6.09,              5.91,              5.49,              5.02,              4.73,              4.35,              3.64,              3.52,              7.14,              6.23,              5.38,              5.62,              5.23,              5.16,              3.48,              2.87,              3.21,              3.29,              3.46,              3.28,              3.77,              3.96,,,,,,,,,
Barbados,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             26.27,             26.11,             29.94,             26.93,             23.93,             23.26,             25.68,             25.22,             21.44,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             73.96,             72.71,             65.91,             65.93,             64.00,             78.01,             68.20,             69.36,             71.62,             66.31,             71.63,             64.19,             67.15,             92.51,            101.35,             94.92,             90.76,             77.29,             74.45,             78.62,             85.95,             93.33,             89.19,             95.70,             80.50,,,,,,,,,
Barbados,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             41.07,             45.36,             43.33,,,,,,,,             63.20,             58.80,             59.86,            127.69,             60.42,             53.45,             45.04,             44.55,             60.05,             83.75,             74.41,             67.94,,,,,,,,,
Barbados,World,Vegetable,Export,Export(US$ Mil),             16.77,             15.04,             15.41,             16.19,             15.90,             15.29,             16.18,             17.09,             17.77,             17.72,             16.03,             14.69,             16.73,             20.29,             15.04,             13.59,             11.64,             11.47,              9.73,              8.67,              8.00,              8.45,              9.05,             11.64,             10.61,,,,,,,,,
Barbados,World,Footwear,Export,Export(US$ Mil),              2.08,              1.28,              2.42,              3.57,              9.09,              7.37,              7.70,              1.91,              1.20,              2.20,              0.73,              3.98,              4.00,              4.51,              0.12,              2.40,              0.55,              0.05,              0.04,              0.06,              0.04,              0.10,              0.04,              0.19,              0.05,,,,,,,,,
Barbados,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             52.66,             50.95,,             57.41,             59.62,             56.63,             52.43,             42.08,             37.12,             39.67,             47.78,             45.55,             41.59,             38.82,,,,,,,,,
Barbados,World,Miscellaneous,Export,Export(US$ Mil),             19.98,             17.14,             46.30,             41.72,             44.84,             62.66,             66.23,             46.51,             40.01,             50.50,             29.29,             34.13,             34.50,             42.24,             15.99,             32.02,             13.39,              7.03,             10.13,             12.18,             11.97,             14.37,             12.52,              8.52,              7.21,,,,,,,,,
Barbados,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             22.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,...,...,Import,No. Of Import products,           3547.00,           3577.00,           3542.00,           3740.00,           3765.00,           3786.00,           3772.00,           3739.00,           3787.00,           3764.00,           3768.00,           3764.00,           3791.00,           3820.00,           3821.00,           3845.00,           3912.00,           3868.00,           3845.00,           3921.00,           3901.00,           3942.00,           3900.00,           3912.00,           2707.00,,,,,,,,,
Barbados,...,...,Export,No. Of Export products,           1433.00,           1319.00,           1550.00,           1693.00,           1764.00,           1798.00,           1768.00,           1656.00,           1680.00,           1756.00,           1643.00,           1757.00,           1893.00,           1896.00,           1615.00,           2002.00,           1778.00,           1516.00,           1577.00,           1580.00,           1658.00,           1704.00,           1765.00,           1699.00,           1403.00,,,,,,,,,
Barbados,...,...,Export,No. Of Export partners,            108.00,            108.00,            121.00,            138.00,            141.00,            141.00,            118.00,            130.00,            128.00,            125.00,            133.00,            133.00,            128.00,            144.00,            130.00,            141.00,            113.00,            107.00,            114.00,            113.00,            118.00,            115.00,             99.00,             97.00,             88.00,,,,,,,,,
Barbados,World,Intermediate goods,Export,Export(US$ Mil),             50.39,             56.33,             64.71,             62.96,             65.79,             74.32,             60.87,             62.95,             58.53,             51.13,             55.26,             53.86,             51.99,             55.45,             58.18,             67.10,             69.00,             59.70,             55.27,             51.87,             53.77,             60.20,             61.16,             59.24,             63.07,,,,,,,,,
Barbados,World,Textiles and Clothing,Export,Export(US$ Mil),              5.84,              4.96,              6.51,             10.12,             17.01,             13.81,             12.88,              7.69,              7.22,             10.72,              5.96,              5.44,              6.24,              9.23,              3.11,              9.16,              4.35,              2.69,              3.20,              2.74,              3.67,              5.15,              5.06,              5.90,              5.72,,,,,,,,,
Barbados,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            208.98,            207.78,            237.60,            285.72,            268.34,            217.72,            255.40,            357.25,            463.92,            510.85,            470.95,             85.87,            212.32,            345.48,            100.36,            366.10,            353.81,             83.52,            236.44,            116.17,            174.24,            190.08,            123.89,            130.75,             90.57,,,,,,,,,
Barbados,Suriname,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             66.87,             87.11,            109.83,             84.59,,,,,,,,,,,,,,,,,,,,,,,
Barbados,World,Food Products,Export,Export(US$ Mil),             78.59,             68.58,             75.78,             80.90,             91.59,             77.53,             74.10,             80.51,             79.09,            100.31,             73.07,             73.49,             75.93,             86.55,             73.73,             63.68,             70.42,             60.31,             55.26,             62.98,             67.35,             64.30,             64.92,             65.41,             84.89,,,,,,,,,
Barbados,World,Consumer goods,Import,Import(US$ Mil),            991.76,            869.98,            989.61,           1052.70,           1034.81,           1026.69,           1020.84,           1172.42,           1188.87,           1229.76,           1152.13,            672.06,            807.47,           1065.80,            642.20,            962.31,           1042.81,            526.97,            607.74,            520.41,            554.27,            589.99,            501.76,            466.00,            427.34,,,,,,,,,
Barbados,St. Lucia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             40.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             27.04,             28.42,             31.04,             22.82,             28.44,,             22.25,,             20.72,             19.63,,             17.68,             17.35,,             16.66,,,             12.32,             15.39,             15.04,             20.14,             19.17,             18.76,             20.05,             20.34,,,,,,,,,
Barbados,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             73.08,             81.27,            108.44,            109.15,             94.64,             67.92,             75.57,            116.32,            127.93,            136.63,,,,,,,,,,             20.08,,,,,,,,,,,,,,
Barbados,World,Transportation,Export,Export(US$ Mil),              4.34,              6.37,              6.39,              4.38,              8.72,              7.46,             12.32,             11.85,              4.02,              6.81,              4.00,              4.82,              5.72,              5.39,              2.97,              5.60,              3.93,              4.67,              3.40,              3.82,              7.74,              5.90,              5.47,              3.53,              3.74,,,,,,,,,
Barbados,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             67.25,,             92.10,             94.43,             92.52,            119.08,             91.44,             92.34,             78.32,             74.40,             72.35,             57.80,             54.23,             61.08,,,,,,,,,,,,,,,,,,,,
Barbados,World,Raw materials,Import,Import(US$ Mil),            132.08,            117.84,            112.32,            121.07,            115.19,            117.75,            118.11,            118.85,            119.23,            109.08,            130.52,             96.00,             93.69,            108.63,             86.68,             83.87,             84.63,             82.15,             70.64,             69.11,             66.65,             64.66,             68.74,             64.78,             69.46,,,,,,,,,
Barbados,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             54.06,             83.19,            131.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             31.25,             55.04,             52.64,             32.82,             41.16,             28.58,             33.02,             31.76,             29.83,             27.49,             25.69,             30.32,             35.93,             34.60,             41.30,             48.43,,,,,,,,,
Barbados,World,Hides and Skins,Export,Export(US$ Mil),              1.11,              0.36,              1.23,              2.99,              9.95,              6.14,              6.53,              4.45,              2.38,              3.89,              0.76,              0.93,              2.37,              2.49,              0.33,              1.18,              0.32,              0.04,              0.22,              0.07,              0.05,              0.08,              0.11,              0.06,              0.10,,,,,,,,,
Barbados,...,...,Development,Trade Balance (current US$ Mil),,,             16.91,             80.48,             73.12,             48.18,            -77.56,           -220.96,           -183.48,           -209.57,           -211.20,           -135.47,            -99.29,           -241.50,            -94.43,           -268.18,           -305.05,           -298.75,           -134.00,           -170.85,           -134.95,           -125.65,           -142.25,            -91.78,            -69.16,             60.66,             40.47,            152.54,             92.58,            132.00,            -17.25,             -4.87,             29.14,             52.35
Barbados,St. Lucia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             20.01,,,             18.97,             18.16,             25.24,             24.70,             20.70,             22.66,             22.14,             13.04,,,,,,,,,,,,,,,,
Barbados,...,...,Tariff,No. Of Tariff Agreement,              4.00,              3.00,,,,,,,              3.00,              2.00,              1.00,              1.00,,,              6.00,              4.00,,              2.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,,,,
Barbados,World,Wood,Export,Export(US$ Mil),             20.17,             18.10,             17.22,             18.88,             17.03,             16.93,             15.39,             17.45,             16.77,             15.40,             14.92,             14.09,             12.63,             14.36,             11.90,             12.29,             11.26,             10.04,             10.50,             10.50,             13.28,             12.67,             15.99,             23.91,             20.47,,,,,,,,,
Barbados,Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            130.95,,,             89.26,,            114.02,             94.77,,             52.99,,             43.48,             44.60,             22.62,             35.52,             44.09,,,,,,,,,
Barbados,World,Mach and Elec,Export,Export(US$ Mil),             12.92,             15.79,             12.99,             16.06,             21.00,             22.67,             21.22,             16.93,             18.68,             21.50,             19.69,             18.45,             23.43,             21.96,             23.86,             50.89,             36.06,             23.27,             25.48,             23.17,             27.69,             32.38,             34.65,             30.68,             35.75,,,,,,,,,
Barbados,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             50.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,...,...,Development,GDP (current US$ Mil),,           4365.50,           5209.00,           5086.50,           4978.00,           4830.00,           4715.00,           4696.50,           4677.00,           4610.00,           4657.50,           4530.00,           4465.50,           4785.00,           4674.00,           4217.50,           3819.50,           3444.50,           3209.50,           3106.50,           3054.50,           3059.50,           2951.82,           2817.08,           2498.38,           2363.65,           2216.97,           2151.34,           2063.34,           1957.00,           2020.58,           2012.13,           2006.17,           1812.76
Barbados,World,Metals,Export,Export(US$ Mil),             19.11,             17.98,             21.28,             20.85,             16.85,             16.01,             16.20,             15.13,             14.21,             16.31,             16.18,             16.26,             15.41,             19.40,             23.02,             17.24,             13.92,             10.34,             12.09,             12.03,             12.28,             13.56,             14.53,             14.97,             16.27,,,,,,,,,
Barbados,World,All Products,Tariff,Duty Free Imports (US$ Thousand),         340670.22,         330987.27,,,,,,,         149661.19,         134996.08,          89665.56,          82347.67,,,         214658.70,         483966.89,,              0.00,              0.00,              0.00,              0.00,          43048.82,          42667.58,,,,,,,,,,,
Barbados,World,Stone and Glass,Export,Export(US$ Mil),             12.05,              7.75,             28.05,             32.85,             29.73,             95.90,             43.47,             19.33,             13.97,             39.86,             11.98,             11.53,             19.00,             26.19,              6.41,             23.45,             10.35,              2.01,              3.65,              3.65,              4.40,              2.71,              3.19,              3.17,              2.07,,,,,,,,,
