Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Botswana,World,Consumer goods,Export,Export(US$ Mil),            238.78,            183.82,            202.61,            285.38,            227.44,            266.89,            289.90,            294.96,            290.81,            395.18,            518.90,            346.29,            348.82,            412.01,            454.16,            247.83,            311.61,            202.13,            173.44,            152.05,            101.04,            135.37,,,,,,,,,,,,
Botswana,World,Minerals,Export,Export(US$ Mil),            139.87,             50.36,             20.91,             48.42,             23.74,             27.42,             78.63,            165.63,            152.47,            129.39,             96.21,            130.00,            107.29,            229.26,            189.54,             69.31,             17.71,             31.50,              1.31,              8.49,              7.77,              7.44,,,,,,,,,,,,
Botswana,World,Raw materials,Export,Export(US$ Mil),           6111.25,           3329.20,           4012.36,           5201.58,           4974.19,           6182.32,           5024.37,           6777.63,           6126.60,           4735.21,           3921.37,           3057.66,           2175.32,           3163.94,           3513.91,           3436.06,           3410.74,           2731.08,           3045.26,           2268.88,           2200.16,           2337.43,,,,,,,,,,,,
Botswana,World,Capital goods,Export,Export(US$ Mil),            140.52,             93.49,             86.40,            114.93,            106.74,             94.71,            136.46,            133.61,            143.06,            172.32,            195.69,             95.20,            128.35,            175.13,             77.46,             58.23,            150.05,            157.11,            153.59,            141.87,             55.40,             65.37,,,,,,,,,,,,
Botswana,World,Plastic or Rubber,Export,Export(US$ Mil),             33.93,             26.45,             28.42,             27.43,             23.25,             28.26,             31.44,             33.53,             29.99,             38.67,             31.38,             19.36,             15.32,             19.02,             21.21,             16.24,             10.37,              8.14,              6.07,              8.23,              6.08,              8.22,,,,,,,,,,,,
Botswana,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            490.05,           1508.19,            720.93,            525.68,            287.82,            315.14,             55.08,             32.98,             40.17,             46.07,            116.89,            115.26,             79.98,             86.36,,,,,,,,,,,,
Botswana,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            377.68,            283.38,            437.90,            337.49,            196.34,            409.69,            425.62,            262.34,            196.60,            285.26,             57.16,             60.66,             76.92,,,,,,,,,,,,
Botswana,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4638.67,           3795.50,           3802.68,           3983.98,           3442.60,           3940.14,           5258.86,           6079.45,           6169.91,           6870.85,           5735.59,           3526.39,           3596.04,           4028.61,           3330.43,           2620.34,           2658.40,           2690.64,           3362.77,           2694.65,           1403.80,           1529.73,,,,,,,,,,,,
Botswana,World,Vegetable,Export,Export(US$ Mil),             20.79,             11.93,             14.95,             11.38,              6.05,             11.73,             10.05,             11.61,             23.85,             19.05,             20.71,             23.21,             13.46,              4.22,              4.23,              6.51,              8.23,              9.95,              4.81,              7.61,              4.63,              6.71,,,,,,,,,,,,
Botswana,World,Footwear,Export,Export(US$ Mil),              1.52,              1.15,              1.40,              1.32,              0.73,              0.62,              0.95,              1.51,              1.90,              2.17,              2.63,              3.66,              3.55,              2.48,              2.86,              1.76,              2.42,              2.92,              3.77,              2.06,              1.82,              2.78,,,,,,,,,,,,
Botswana,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            405.88,            282.97,,,            125.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            206.29,            454.08,            534.24,            467.20,            343.46,            509.61,            851.99,            427.18,,,,,,,,,,,,,,,,,,,,,,,,,
