Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Canada,World,Consumer goods,Export,Export(US$ Mil),         123726.42,         102445.13,         120123.93,         119745.06,         120305.30,         118146.06,         117840.69,         127470.45,         124837.25,         125608.55,         120559.67,         112050.35,          89944.13,         131636.15,         128094.75,         123811.75,         123981.56,         108432.80,          95388.93,          84775.76,          88364.37,          88884.66,          74113.81,          63777.13,          61000.94,          55856.82,          50795.51,          46300.84,          38950.31,          31418.35,          28399.08,          27134.34,          25591.52,
Canada,World,Minerals,Export,Export(US$ Mil),          15597.81,          11849.29,          10582.84,           9596.90,           8463.90,           7287.72,           7933.63,           9876.83,           9677.83,          10235.47,          10585.06,           7355.63,           6135.15,           9249.58,           6456.48,           5752.00,           4415.06,           2844.64,           2539.30,           2416.35,           2433.95,           2597.43,           2397.87,           2628.95,           3174.57,           3050.35,           3121.40,           2384.51,           2320.36,           2977.25,           3347.71,           4041.73,           3942.54,
Canada,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          15139.53,          12875.61,          14568.59,          14733.22,          13856.53,          12994.20,          13568.54,          14436.10,          14955.47,          14310.17,          12921.00,          10961.19,           9515.79,          11975.26,          10752.36,           9849.53,,,,,,,,,,,           3497.07,           3216.47,           2715.87,           2924.20,           3260.22,           3302.26,           3156.42,
Canada,World,Raw materials,Export,Export(US$ Mil),         148368.60,          98901.47,         118016.63,         119825.64,         102461.93,          82302.37,          94951.72,         141235.34,         131277.73,         128594.67,         123872.65,          93623.15,          73729.60,         112243.07,          75156.26,          64471.78,          51219.92,          41517.00,          32868.52,          28788.34,          28151.92,          29974.49,          22561.91,          22525.65,          27074.67,          25649.70,          23575.17,          19567.44,          17935.70,          20120.04,          19777.66,          20101.15,          17840.42,
Canada,World,Capital goods,Export,Export(US$ Mil),          76183.91,          65971.65,          82158.32,          80385.57,          73198.01,          70246.16,          73592.52,          75191.73,          71002.79,          73664.77,          71580.18,          65441.16,          61462.42,          81940.98,          90227.70,          85690.66,          81561.23,          72953.94,          66750.66,          63793.72,          66899.93,          76241.31,          65910.36,          57557.44,          56320.83,          51439.49,          47914.55,          42802.62,          37668.90,          34859.61,          32050.67,          32183.52,          30223.58,
Canada,World,Plastic or Rubber,Export,Export(US$ Mil),          20222.36,          15081.57,          15982.14,          16882.69,          15749.08,          15291.81,          15763.56,          16967.15,          16609.14,          16295.33,          16305.96,          14250.99,          11873.89,          15972.75,          16046.62,          16137.93,          15066.44,          13147.15,          11282.97,          10312.44,          10098.06,          10055.75,           8724.97,           7899.22,           7730.68,           6787.31,           6327.87,           5158.57,           4252.61,           3807.30,           3374.06,           3200.58,           2638.31,
Canada,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           8602.34,           7432.39,           6596.72,           6207.49,           7568.81,           8748.20,           6078.55,           4204.21,           4694.20,           4934.32,           3990.44,           3660.68,           3432.39,           3396.90,           3650.90,           4153.38,           3855.06,
Canada,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12324.00,          10094.38,          12419.72,          13001.92,          13500.07,          11919.70,          11561.57,          12046.26,          13342.17,          15038.60,          13193.77,          13054.19,          10860.58,          14404.33,          14447.45,          13521.42,          12220.23,          10400.00,           9882.96,           9834.67,           9457.04,          11176.25,          10121.26,           9437.56,           9065.11,           7658.07,           8813.68,           8320.67,           8284.58,           8908.17,           8948.52,           8154.77,           8063.96,
Canada,World,Vegetable,Export,Export(US$ Mil),          31273.37,          27115.04,          22676.40,          24908.12,          24533.17,          23147.57,          24244.11,          26112.70,          25375.60,          25444.43,          23558.86,          18740.15,          17478.99,          21147.31,          14635.75,          10930.95,           8699.95,           8910.40,           7153.96,           6197.90,           7106.86,           6818.51,           6648.79,           7578.16,           8595.02,           7856.02,           7035.68,           6087.10,           4681.62,           6128.49,           5593.92,           5280.26,           4657.81,
Canada,World,Footwear,Export,Export(US$ Mil),            251.65,            210.40,            342.20,            368.41,            332.28,            345.57,            407.03,            388.82,            361.14,            337.37,            349.20,            329.82,            302.61,            355.70,            338.17,            330.58,            297.38,            261.96,            235.23,            250.71,            229.02,            247.34,            233.54,            230.45,            240.64,            212.70,            188.36,            197.07,            151.48,            111.89,             97.32,             96.38,             78.29,
Canada,World,Miscellaneous,Export,Export(US$ Mil),          36150.28,          32804.67,          36754.55,          35117.83,          33496.70,          34035.68,          32097.63,          29895.66,          27185.71,          25975.52,          25649.45,          23461.28,          23200.79,          29863.36,          29901.01,          29790.18,          28954.12,          27092.65,          25066.76,          25770.33,          25740.61,          27090.47,          23626.28,          20151.76,          17106.41,          15362.04,          13712.42,          12105.57,           9875.42,           9106.35,           8719.07,           8929.18,           4991.33,
Canada,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          22404.74,          18860.95,          17546.21,          21376.65,          18185.91,          15825.08,          15783.68,          17447.76,          19900.00,          19383.18,          16984.62,          12854.41,           9797.29,           9881.45,           8873.35,           6879.50,           5961.77,           5209.11,           3436.40,           2633.77,           2755.23,           2444.72,           1788.50,           1682.31,,           2211.43,           2525.42,           1681.74,,           1869.13,,           1418.02,,
