Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Switzerland,World,Consumer goods,Export,Export(US$ Mil),         122072.81,         105971.70,         113082.31,         111082.50,         102592.80,          98300.94,          95364.41,         102153.66,          95840.14,          92737.50,          93940.27,          76578.78,          68099.30,          75858.76,          64739.57,          55443.57,          48277.92,          44073.51,          37226.82,          32150.14,          28827.91,          26724.82,          28118.41,          27065.02,          25893.71,          27302.14,          27705.03,          24497.44,          22036.75,          22025.27,          19971.21,          19685.97,          15170.76,          14469.00
Switzerland,World,Minerals,Export,Export(US$ Mil),            385.33,            329.23,            274.11,            207.33,            169.87,             76.70,             87.79,             84.46,             79.35,             63.91,             70.32,             58.19,             49.61,             65.60,             60.04,             46.06,             41.11,             42.51,             45.89,             39.65,             36.55,             41.80,             42.36,             44.83,             39.85,             46.50,             47.44,             46.64,             41.30,             36.60,             37.50,             43.33,             34.53,             32.58
Switzerland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          62360.16,          56611.58,          57425.52,          57789.93,          55320.62,          51706.91,          51832.02,          59441.64,          59806.10,          64229.85,          67154.72,          56285.67,          52211.53,          61756.77,          52879.38,          45062.59,          40080.46,          37365.41,          31825.54,          27110.70,          25549.84,          24431.05,          24778.03,          24417.09,          22948.65,          24575.30,          27023.33,          22273.63,          19805.09,          21977.14,          21786.95,          23465.08,          19503.60,          19193.96
Switzerland,World,Raw materials,Export,Export(US$ Mil),           2861.29,           2105.12,           1973.37,           1995.36,           1856.97,           1722.82,           1833.61,           2385.50,           2320.88,           2526.82,           2714.09,           2219.00,           1480.24,           2203.53,           1937.50,           1653.19,           1299.88,           1212.58,            932.29,            871.11,           1275.62,           1432.14,           1401.62,           1168.64,           1618.43,           1901.52,           2018.30,           2091.31,           2191.72,           2170.99,           2111.06,           2401.62,           2245.98,           2156.17
Switzerland,World,Capital goods,Export,Export(US$ Mil),          56586.31,          49975.60,          53824.66,          56432.23,          53633.60,          49843.30,          50095.74,          55247.92,          53468.62,          51904.58,          58162.93,          48376.70,          44415.61,          56118.64,          49446.38,          42206.64,          38457.70,          37488.08,          31837.86,          27929.00,          26391.37,          27064.84,          27479.86,          27705.37,          26517.69,          28313.34,          28729.25,          23845.39,          21125.37,          23053.81,          22088.59,          23661.07,          19004.30,          18824.25
Switzerland,World,Plastic or Rubber,Export,Export(US$ Mil),           6686.84,           5460.09,           5665.91,           6025.37,           5548.14,           5329.92,           5322.58,           6129.65,           5931.98,           5651.84,           5564.48,           4923.08,           4820.02,           6154.81,           5768.29,           4881.08,           4373.37,           4237.10,           3655.74,           3032.79,           2791.20,           2819.71,           2971.43,           2979.89,           2897.81,           2990.39,           3207.32,           2688.89,           2318.87,           2440.53,           2177.66,           2161.83,           1730.36,           1701.97
Switzerland,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          36389.87,,          16259.76,          26549.95,          19383.47,          19009.03,          32197.97,          33747.21,          69770.48,,,,           8066.41,          13938.68,           8801.63,           7030.81,          12089.39,           5687.05,,           4420.46,           6592.47,           5368.26,           4513.86,           5000.75,           4921.11,           5026.91,           4447.60,           4501.20,           4393.09,           3799.15,           3681.01,           3666.66,           3249.72,           3209.46
Switzerland,World,Vegetable,Export,Export(US$ Mil),           3984.18,           3211.18,           2830.10,           2689.79,           2554.78,           2325.72,           2292.54,           2519.70,           2511.69,           2097.08,           2011.29,           1458.97,           1179.50,           1004.55,            668.57,            331.96,            309.02,            250.70,            199.82,            158.24,            127.19,            131.05,            141.65,            139.14,            135.03,            142.72,            158.03,            138.30,            122.09,            131.93,            125.23,            131.00,            112.92,            115.91
Switzerland,World,Footwear,Export,Export(US$ Mil),            924.79,            924.31,           1045.49,           1001.55,            832.55,            632.52,            522.30,            407.33,            376.50,            364.81,            327.07,            257.12,            286.82,            296.46,            224.02,            189.76,            180.27,            153.39,            144.72,            142.83,            149.01,             97.50,            118.70,            145.62,            160.55,            189.70,            228.34,            246.96,            250.52,            192.13,            188.24,            229.82,            184.04,            191.75
Switzerland,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,          17023.04,,,,,,,,,,,,,,,,,,,,,,,,
