Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Chile,World,Consumer goods,Export,Export(US$ Mil),           6956.25,           6188.64,           7050.36,           7636.95,           7049.75,           6096.14,           6390.56,           7122.64,           7290.59,           8243.19,           8546.97,           6716.66,           6184.03,           7741.05,           6580.69,           5924.03,           5059.63,           4216.59,           3654.00,           2382.19,           2782.46,           2334.05,           2100.29,           2082.18,           2074.25,           1972.72,           1745.45,           1374.00,           1244.80,           1057.53,            810.42,            590.77,,
Chile,World,Minerals,Export,Export(US$ Mil),          34297.99,          25048.64,          19796.68,          20746.44,          18849.71,          14794.09,          15131.80,          18858.61,          19604.36,          19029.26,          18245.62,          16610.97,          11872.48,          13056.42,          18570.13,          15462.74,          10941.09,           7192.67,           3407.15,           2246.91,           2650.23,           2896.56,           2189.84,           1879.36,           2498.81,           2310.18,           2503.66,           1477.84,           1123.02,           1330.47,           1197.80,            879.74,,
Chile,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2947.11,           2293.93,           2785.07,           2904.80,           2614.51,           2281.05,           2371.86,           2624.84,           3193.76,,,,,,,,,,,            717.79,            684.14,,,,,,            789.64,            506.50,            619.96,            630.56,            498.56,            522.29,,
Chile,World,Raw materials,Export,Export(US$ Mil),          49385.58,          38894.66,          34593.38,          35109.21,          31729.24,          27339.21,          26565.80,          31792.51,          31561.93,          29540.94,          29106.39,          25990.89,          19907.03,          21981.70,          26538.89,          22480.27,          16811.52,          12353.49,           7651.98,           5534.22,           5941.28,           6033.74,           5067.80,           4568.72,           5091.29,           4856.46,           4949.41,           3523.51,           2930.55,           3172.97,           2816.92,           2317.02,,
Chile,World,Capital goods,Export,Export(US$ Mil),           1735.67,           1940.60,           1333.63,           1513.56,           1475.05,           1466.00,           1386.42,           1817.14,           1628.28,           1842.25,           1730.90,           1537.01,           1426.71,           1536.17,           1376.88,           1071.51,            843.58,            626.19,            523.12,            362.99,            423.89,            388.00,            433.32,            454.02,            390.87,            376.72,            255.40,            265.93,            183.17,            145.96,            104.04,             90.70,,
Chile,World,Plastic or Rubber,Export,Export(US$ Mil),            848.19,            657.43,            793.27,            792.89,            801.89,            758.64,            917.17,            976.39,            940.83,            978.45,           1028.10,            756.47,            552.83,            685.38,            590.28,            555.91,            464.14,            422.82,            345.45,            231.32,            255.08,            217.86,            172.83,            174.73,            156.84,            133.25,            134.43,             97.82,             89.45,             68.59,             56.58,             42.09,,
Chile,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           3382.67,,,,,,,            747.58,,,            701.76,            631.59,            994.61,           1054.67,            949.67,           1012.89,           1007.03,            882.61,            964.63,            645.57,            568.33,,
Chile,World,Vegetable,Export,Export(US$ Mil),           8023.24,           7731.92,           7962.00,           7635.49,           6650.83,           6979.83,           6376.05,           6918.18,           6820.22,           6085.70,           5992.21,           5190.54,           4435.75,           4980.19,           3948.54,           3369.05,           3017.40,           2784.64,           2425.31,           1775.27,           1705.34,           1662.90,           1587.57,           1566.40,           1451.45,           1586.88,           1392.01,           1200.02,           1042.93,           1121.05,           1004.40,            949.96,,
Chile,World,Footwear,Export,Export(US$ Mil),             92.81,             77.21,            112.33,            125.97,            122.56,            126.36,            152.89,            171.45,            184.78,            180.13,            160.74,            127.35,            116.82,            118.46,            103.38,            103.34,             99.12,             74.58,             98.59,              7.79,             12.86,              9.59,             13.39,             22.60,             23.93,             26.63,             30.57,             34.82,             44.16,             44.14,             54.47,             37.28,,
Chile,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            478.53,,,,
