Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cote d'Ivoire,World,Consumer goods,Export,Export(US$ Mil),,           2011.09,           2288.09,           2250.88,           2015.13,           1900.23,           2137.89,           2997.74,           2926.33,           2966.72,           2407.79,           2210.06,           2558.46,           3228.52,           2524.28,           2486.79,           2286.00,           1851.63,           1259.69,           1144.04,           1090.47,           1231.82,            692.50,            750.45,            694.30,            638.83,            588.75,,,,,,,
Cote d'Ivoire,World,Minerals,Export,Export(US$ Mil),,            179.02,            181.24,            129.06,             60.38,             17.91,             28.25,             65.21,             39.13,             30.04,             26.76,             54.81,             82.79,             96.09,             84.84,             56.13,             57.29,             58.38,             14.72,             44.18,             44.97,             42.13,             41.36,             39.60,             34.69,             38.88,             35.01,,,,,,,
Cote d'Ivoire,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            145.57,,,,             93.39,,             89.62,,            136.47,            128.11,            160.99,            130.23,,,,,,,
Cote d'Ivoire,World,Raw materials,Export,Export(US$ Mil),,           6863.90,           7176.64,           6722.05,           6662.87,           5612.15,           5945.23,           5549.41,           5529.92,           5445.26,           6204.32,           5157.63,           4750.44,           4448.96,           3496.67,           3622.76,           2723.53,           2646.40,           2426.90,           2377.20,           1575.34,           1603.77,           1949.21,           2129.06,           2109.99,           2237.06,           1871.84,,,,,,,
Cote d'Ivoire,World,Capital goods,Export,Export(US$ Mil),,            186.98,            371.96,            220.34,            916.40,            454.01,           1635.80,           1048.87,           2866.48,            229.94,            282.35,            905.80,            707.66,            369.72,            694.99,            905.69,           1110.97,            919.73,            402.99,            447.12,            164.94,             32.46,            332.86,            206.16,            108.09,             82.91,             58.03,,,,,,,
Cote d'Ivoire,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            800.64,            620.70,            802.00,            797.82,            551.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,World,Plastic or Rubber,Export,Export(US$ Mil),,           1170.91,           1041.89,            909.94,           1058.94,            761.54,            682.11,            780.28,            922.99,            944.25,           1257.17,            805.25,            496.74,            578.20,            443.85,            378.87,            255.25,            225.38,            170.50,            141.26,            136.30,            133.96,            138.94,            183.85,            184.30,            194.81,            172.85,,,,,,,
Cote d'Ivoire,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            176.10,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            125.43,,            119.91,,            122.40,,,,,,,
Cote d'Ivoire,World,Vegetable,Export,Export(US$ Mil),,           1554.78,           1494.84,           1826.07,           1649.86,           1423.20,           1259.38,           1105.94,           1029.61,           1071.68,            889.63,            906.93,            677.34,            679.25,            598.74,            509.05,            433.33,            446.11,            335.19,            308.72,            365.27,            493.15,            469.79,            593.98,            563.47,            525.81,            624.24,,,,,,,
Cote d'Ivoire,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,            315.45,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            346.79,            332.29,            358.08,            354.50,            185.85,,,            134.06,,,,,,,,,,,,,,,,
Cote d'Ivoire,World,Footwear,Export,Export(US$ Mil),,             51.75,             49.60,             53.55,             56.92,             57.61,             58.61,             77.87,             76.38,             65.21,             42.32,             41.81,             36.53,             29.19,             24.24,             20.93,             17.82,             32.23,             35.83,             33.05,             31.09,             33.26,             31.67,             29.10,             23.96,             22.03,             17.92,,,,,,,
Cote d'Ivoire,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            611.70,            892.88,            867.74,            667.55,            668.70,            716.99,            622.16,            644.23,            588.13,            578.15,            496.49,,            467.01,,,,,,,,,,,,,,
Cote d'Ivoire,World,Miscellaneous,Export,Export(US$ Mil),,             16.18,             33.02,             29.40,             45.95,             51.39,             48.44,             34.97,             33.45,             29.75,              9.89,              7.83,             34.55,             20.92,             33.34,             33.45,             63.64,            122.23,            275.43,             25.29,             27.78,             26.93,             52.92,             28.21,             26.19,             24.85,             22.82,,,,,,,
Cote d'Ivoire,Marshall Islands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            278.34,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,...,...,Import,No. Of Import products,,           3865.00,           3877.00,           3826.00,           3875.00,           3826.00,           3840.00,           3859.00,           3884.00,           3873.00,           3644.00,           3777.00,           3749.00,           3760.00,           3805.00,           3747.00,           3772.00,           3794.00,           3653.00,           3734.00,           3767.00,           3697.00,           3888.00,           3903.00,           3954.00,           3910.00,           3798.00,,,,,,,
Cote d'Ivoire,...,...,Export,No. Of Export products,,           2343.00,           2361.00,           2281.00,           2345.00,           2429.00,           2450.00,           2079.00,           1966.00,           1758.00,           1597.00,           1836.00,           1875.00,           1622.00,           1624.00,           1648.00,           1791.00,           1801.00,           1786.00,           1966.00,           2049.00,           1993.00,           2030.00,           2087.00,           2034.00,           1903.00,           1898.00,,,,,,,
Cote d'Ivoire,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            804.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,...,...,Export,No. Of Export partners,,            139.00,            147.00,            155.00,            158.00,            154.00,            158.00,            148.00,            150.00,            144.00,            136.00,            147.00,            142.00,            143.00,            140.00,            136.00,            137.00,            141.00,            136.00,            140.00,            138.00,            138.00,            134.00,            129.00,            129.00,            127.00,            127.00,,,,,,,
Cote d'Ivoire,Liberia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            439.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            754.17,            610.07,,            720.68,,,            814.87,            823.36,,            741.39,            691.90,,            338.13,,,,,,,,,,            214.34,            208.23,,,,,,,
Cote d'Ivoire,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            794.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           1137.19,           1125.84,           1130.49,           1062.30,           1137.56,           1298.02,           1357.05,           1374.94,           1210.26,            790.07,            932.86,            998.20,            995.44,           1451.78,           1485.38,           1623.33,           1539.64,           1150.25,            554.48,            537.71,            505.25,            751.47,            856.38,            737.86,            607.61,            647.91,,,,,,,
Cote d'Ivoire,World,Intermediate goods,Export,Export(US$ Mil),,           3392.08,           2881.16,           2627.65,           2851.15,           2810.46,           2840.79,           3080.37,           2410.42,           2212.24,           2211.97,           2009.71,           2278.74,           1659.00,           1330.69,           1118.51,           1100.64,           1104.82,            980.96,            997.97,            799.53,            723.98,            854.23,            941.26,            808.10,            779.30,            854.11,,,,,,,
Cote d'Ivoire,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            539.49,            447.49,            499.10,            453.73,            377.82,,            553.49,,            389.17,,,,,,,,,,,,,,,,,,,,,,,,
