Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Congo, Rep.",World,Consumer goods,Export,Export(US$ Mil),            356.09,            244.38,            293.60,             88.84,             72.50,             70.16,             59.06,             74.82,            283.83,            162.20,            294.62,            286.03,            332.25,            278.54,            222.04,,,,,,,,,,,,              3.10,             21.86,             21.64,,,,,
"Congo, Rep.",World,Minerals,Export,Export(US$ Mil),              7.54,              6.08,              9.18,              3.80,              1.27,              1.39,              0.99,              0.92,              0.87,              0.67,              0.76,              0.15,              0.16,              0.61,              0.41,,,,,,,,,,,,              0.22,              0.15,              0.59,,,,,
"Congo, Rep.",World,Raw materials,Export,Export(US$ Mil),           1252.35,           3639.53,           4613.15,           9292.99,           3841.61,           1629.05,           2727.21,           4032.81,           7737.31,           5839.49,          10603.26,           4593.36,           5710.82,           7631.17,           5430.62,,,,,,,,,,,,           1022.08,            864.24,            903.88,,,,,
"Congo, Rep.",World,Capital goods,Export,Export(US$ Mil),            439.45,            790.81,            410.38,           1514.56,           3899.18,           6106.84,           5771.32,           4488.11,           2383.05,           1421.26,           2888.02,           2000.42,           2112.31,           1129.25,            535.57,,,,,,,,,,,,              6.25,              6.21,              6.25,,,,,
"Congo, Rep.",Gabon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            239.63,,,,,           1021.48,            879.08,           1003.15,,,            646.01,            234.48,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",World,Plastic or Rubber,Export,Export(US$ Mil),              0.67,              1.11,              1.93,              1.27,              1.81,              2.01,              0.62,              1.11,              0.61,              0.70,              1.33,              0.74,              0.78,              0.74,              1.06,,,,,,,,,,,,              0.21,              0.30,              0.19,,,,,
"Congo, Rep.",United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            289.33,            301.58,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            311.08,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",World,Vegetable,Export,Export(US$ Mil),              1.53,              3.91,              0.61,              0.64,              1.68,              0.10,              0.03,              0.14,              3.71,              3.79,              1.90,              3.15,              3.32,              2.59,              0.58,,,,,,,,,,,,              1.86,              0.22,              0.21,,,,,
"Congo, Rep.",World,Footwear,Export,Export(US$ Mil),              0.21,              0.01,              0.16,              0.01,              0.03,              0.13,              0.00,              0.01,              0.00,              0.00,              0.03,              0.01,              0.01,              0.05,              0.01,,,,,,,,,,,,              0.03,              0.01,              0.04,,,,,
"Congo, Rep.","Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            804.32,            513.92,            636.53,            582.60,            554.98,,,,,,,,,,,,            256.86,            118.79,             52.20,,,,,
"Congo, Rep.",Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            314.49,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",World,Miscellaneous,Export,Export(US$ Mil),             14.41,             17.83,             18.38,             28.47,             45.39,             43.04,             31.93,             34.42,             24.54,             40.17,             40.60,             77.80,             81.99,             24.55,             15.42,,,,,,,,,,,,              3.03,              2.69,              1.04,,,,,
"Congo, Rep.",Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            202.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Ghana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            742.65,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Equatorial Guinea,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            269.33,            281.87,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1081.06,           3119.61,           3333.65,           6992.12,           2993.72,            921.00,           1377.02,           2016.67,           4228.11,           1596.81,           3850.54,           1446.69,           1793.77,           3573.17,           2704.29,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",...,...,Import,No. Of Import products,           3207.00,           3199.00,           3308.00,           3292.00,           3393.00,           3451.00,           3499.00,           3487.00,           3395.00,           3329.00,           3237.00,           3110.00,           3100.00,           3025.00,           3098.00,,,,,,,,,,,,           2382.00,           2539.00,           1777.00,,,,,
"Congo, Rep.",India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            112.47,            735.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",...,...,Export,No. Of Export products,           1110.00,            937.00,           1071.00,           1014.00,           1071.00,            981.00,            786.00,            790.00,            686.00,            771.00,            934.00,            673.00,            660.00,            673.00,            594.00,,,,,,,,,,,,            378.00,            393.00,            314.00,,,,,
"Congo, Rep.",Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            273.09,            519.81,            842.53,            892.88,           1037.94,            891.37,,           1197.01,            903.44,            952.95,,            332.34,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            127.01,,,,            423.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",...,...,Export,No. Of Export partners,            107.00,            115.00,            116.00,            113.00,            123.00,            107.00,            104.00,             95.00,            102.00,             96.00,             99.00,             96.00,             96.00,             92.00,             98.00,,,,,,,,,,,,             52.00,             58.00,             52.00,,,,,
"Congo, Rep.","Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           1906.17,            678.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            293.00,            277.18,            336.83,            401.68,            358.79,,            660.87,,            761.43,            603.23,            533.94,            533.81,            549.17,            362.38,            474.50,,,,,,,,,,,,            145.11,            127.48,            113.91,,,,,
"Congo, Rep.",World,Intermediate goods,Export,Export(US$ Mil),            308.51,            211.53,            253.18,            252.44,            432.32,             85.97,             59.79,             67.15,             48.92,             14.98,             37.75,             37.77,             46.15,            130.77,            104.97,,,,,,,,,,,,             39.52,             25.50,             33.57,,,,,
"Congo, Rep.",Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            808.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",World,Textiles and Clothing,Export,Export(US$ Mil),              2.73,              0.75,              1.95,              0.93,              0.74,              1.60,              3.33,              0.76,              0.72,              1.27,              1.44,              3.50,              3.69,              2.46,              1.65,,,,,,,,,,,,              0.04,              0.25,              0.42,,,,,
"Congo, Rep.",World,Food Products,Export,Export(US$ Mil),             13.07,              9.44,             15.00,             18.65,             19.45,             14.63,             17.52,             18.76,             11.32,             11.76,             18.38,             29.96,             31.85,             33.92,             22.09,,,,,,,,,,,,              8.89,              6.76,              8.20,,,,,
"Congo, Rep.",Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            452.11,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Gabon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             94.17,            226.79,,            390.59,,            657.17,,            707.60,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",World,Consumer goods,Import,Import(US$ Mil),            855.64,            657.86,            714.86,            788.30,            968.00,           1185.89,           1549.23,           1127.89,           1074.79,            857.44,            791.87,            721.42,            605.65,            644.28,            570.32,,,,,,,,,,,,            175.37,            139.79,            130.74,,,,,
"Congo, Rep.",Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            137.64,,,,,,           1261.58,           1878.94,            859.49,            656.84,            680.52,            266.83,            867.16,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            282.58,,,           1413.05,            735.69,,,            571.88,            440.96,            457.46,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",World,Transportation,Export,Export(US$ Mil),            475.77,            729.28,            311.79,           1392.25,           3798.04,           5901.27,           5653.93,           4388.06,           2282.93,           1303.03,           2725.46,           1866.12,           1970.78,           1068.99,            489.65,,,,,,,,,,,,              0.22,              0.34,              0.21,,,,,
"Congo, Rep.",Togo,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            177.82,,,,,,            943.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.","Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            907.37,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            460.29,            357.32,            256.30,            476.18,            357.07,            919.85,           1058.12,            794.22,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Heard Island and McDonald Isla,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            464.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            686.68,            820.30,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",World,Raw materials,Import,Import(US$ Mil),            454.47,            344.56,            308.35,            309.79,            329.77,            203.37,            279.25,            283.19,            247.41,            172.99,            155.21,            104.70,            158.73,            104.65,             86.06,,,,,,,,,,,,             46.44,             39.44,             24.78,,,,,
"Congo, Rep.",Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,           1160.65,,,,,,,,,,,,,,,,,,,,             24.60,             27.47,,,,,
"Congo, Rep.",Malta,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            213.32,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Heard Island and McDonald Isla,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            463.18,           1026.52,            733.24,            763.53,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             83.66,             77.21,             41.96,,,,,
"Congo, Rep.",Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            104.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",World,Hides and Skins,Export,Export(US$ Mil),              0.24,              0.20,              0.28,              0.13,              0.11,              0.56,              0.89,              0.65,              0.52,              0.48,              0.56,              0.23,              0.24,              0.16,              0.04,,,,,,,,,,,,              0.00,              0.00,              0.00,,,,,
"Congo, Rep.",...,...,Development,Trade Balance (current US$ Mil),,            224.45,           2630.26,           3010.60,            321.92,          -4165.96,          -4425.83,            370.38,           2309.86,           3312.24,           3538.45,           1706.50,           -638.44,           1589.29,          -1018.84,           2365.30,           2024.60,           1382.72,            166.88,            836.75,            674.22,           1184.15,            310.39,             71.23,            358.51,            216.18,             23.20,           -277.83,            308.60,            711.12,            370.16,            916.18,            327.26,              4.36
"Congo, Rep.",France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            544.55,            931.76,           1018.31,            867.65,           1073.48,            875.47,,,,,,,,,,,,,            107.34,             56.25,             79.49,,,,,
"Congo, Rep.",...,...,Tariff,No. Of Tariff Agreement,,,,,,,              2.00,              2.00,              2.00,,              2.00,              2.00,              2.00,              2.00,              2.00,,,,,,,,,,,,,              1.00,,,,,,
"Congo, Rep.",Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            365.37,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            740.21,,,,,,,,,,,,,,,,,,,,,,,            189.61,            191.79,            226.30,,,,,
"Congo, Rep.",World,Wood,Export,Export(US$ Mil),            343.61,            334.07,            335.74,            294.28,            243.57,            158.85,            100.18,            113.77,            103.02,             62.03,            108.36,            115.12,            170.07,            225.50,            213.67,,,,,,,,,,,,            107.77,            123.42,             31.45,,,,,
"Congo, Rep.",Portugal,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            429.99,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            422.00,            144.91,,            924.41,           2247.85,            913.15,,,,,,,,,,,,,,,,,,,,,             28.08,             17.27,,,,,
"Congo, Rep.",World,Mach and Elec,Export,Export(US$ Mil),             64.09,             47.09,             83.09,             98.64,            128.45,            168.00,             91.15,             70.18,             78.59,             84.59,            127.12,             64.16,             67.61,             41.85,             37.89,,,,,,,,,,,,              3.81,              3.48,              5.13,,,,,
"Congo, Rep.",Iceland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            727.06,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            846.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
