Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Comoros,World,Consumer goods,Export,Export(US$ Mil),             24.60,             14.10,             32.45,             30.44,             32.08,             25.88,             12.10,             18.10,             12.13,             17.97,             23.11,             10.01,              9.84,              2.98,              1.18,              2.28,              3.28,              7.66,              6.42,              9.23,              7.46,              6.45,              4.24,              2.54,              3.61,              3.56,              8.42,,,,,,,
Comoros,World,Minerals,Export,Export(US$ Mil),              0.00,              0.00,              0.00,              0.00,,,              0.00,,              0.00,              0.01,,,              0.00,              0.00,,,,,,              0.00,              0.00,,,,,,,,,,,,,
Comoros,World,Raw materials,Export,Export(US$ Mil),              2.28,              0.14,              0.16,              0.03,              0.04,              0.14,              0.01,              0.02,              0.04,              0.02,              0.26,              0.20,              0.06,              0.02,,              0.00,              0.01,              0.00,              0.01,              0.00,              0.00,              0.01,              0.03,              0.00,              0.09,              0.50,              0.10,,,,,,,
Comoros,World,Capital goods,Export,Export(US$ Mil),              1.31,              0.69,              3.77,              0.86,              2.14,              0.72,              0.36,              4.48,              1.40,              0.31,              0.28,              1.60,              0.48,              0.17,,              0.09,              0.26,              0.19,              0.04,              0.03,              0.03,              0.11,              0.03,              0.38,              0.09,              0.12,              0.12,,,,,,,
Comoros,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,Madagascar,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             17.10,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,World,Plastic or Rubber,Export,Export(US$ Mil),              0.05,              0.00,              0.00,              0.01,              0.03,              0.00,              0.00,              0.00,              0.01,              0.01,              0.00,              0.00,              0.00,,,,              0.00,,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,              0.02,              0.00,,,,,,,
Comoros,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,              2.07,,              1.95,              3.88,              3.05,              3.51,              3.81,              3.91,,,,,,,,
Comoros,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,              1.56,,,,,,,,,,,
Comoros,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             10.00,,,,              9.60,             14.13,              3.97,              2.97,              4.61,              2.78,              3.23,             43.72,              4.25,              5.82,              4.01,              4.47,,,,,,,
Comoros,World,Vegetable,Export,Export(US$ Mil),             18.50,             12.77,             21.27,             29.47,             30.56,             25.14,             10.96,             16.07,             11.85,             17.45,             20.65,              9.45,              9.28,              2.92,              1.18,              2.23,              3.25,              7.60,              6.29,              9.08,              7.37,              6.34,              4.14,              2.45,              3.37,              3.42,              8.33,,,,,,,
Comoros,World,Footwear,Export,Export(US$ Mil),              0.01,              0.04,              0.04,              0.02,              0.01,              0.00,,              0.02,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,              0.00,,              0.00,              0.01,              0.02,              0.01,              0.01,              0.01,              0.00,              0.01,              0.01,              0.01,,,,,,,
Comoros,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            192.35,             50.74,             43.67,             58.40,             42.64,             52.66,             39.65,             47.11,             46.91,             47.62,             68.42,             52.56,             53.31,             44.20,             46.46,             31.07,             25.96,             11.25,              6.09,              3.26,              4.09,              1.79,              2.90,              3.56,              3.38,              3.70,,,,,,,,
Comoros,World,Miscellaneous,Export,Export(US$ Mil),              0.50,              0.98,             10.22,              0.72,              0.52,              0.53,              0.46,              2.03,              0.72,              0.30,              0.49,              0.21,              0.32,              0.01,              6.82,              0.01,              0.00,              0.01,              0.04,              0.03,              0.02,              0.22,              0.16,              0.15,              0.14,              0.17,              0.05,,,,,,,
Comoros,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,              7.77,,,,,,,,,,              3.30,              2.32,,,,,,,,,,,,,,,
Comoros,...,...,Import,No. Of Import products,           2380.00,           2192.00,           2350.00,           2452.00,           2264.00,           2224.00,           2125.00,           2164.00,           2285.00,           2235.00,           2195.00,           2143.00,           2322.00,           2113.00,           1817.00,           1984.00,           2001.00,           1805.00,           1398.00,           1519.00,           1409.00,           1369.00,           1491.00,           1452.00,           1624.00,           1513.00,           1339.00,,,,,,,
Comoros,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              8.64,              4.52,              9.28,             15.30,             12.19,              8.49,              2.39,              2.81,,              2.38,,              0.73,,,              0.10,              0.44,              0.23,,,,,,,,,,,,,,,,,
Comoros,...,...,Export,No. Of Export products,            175.00,            134.00,            161.00,            160.00,            199.00,            167.00,            110.00,            154.00,            156.00,            140.00,            111.00,            117.00,            192.00,            127.00,              4.00,             43.00,             45.00,             39.00,             55.00,             67.00,             72.00,             76.00,             59.00,             44.00,             57.00,            129.00,             79.00,,,,,,,
Comoros,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,American Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              5.50,,,,,,,,,,,,,,,,
Comoros,...,...,Export,No. Of Export partners,             40.00,             32.00,             38.00,             48.00,             32.00,             40.00,             27.00,             39.00,             34.00,             41.00,             35.00,             33.00,             33.00,             31.00,             11.00,             14.00,             18.00,             18.00,             18.00,             13.00,             11.00,             18.00,             13.00,             18.00,             20.00,             16.00,             17.00,,,,,,,
Comoros,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              1.65,              2.46,              4.90,              4.30,              3.15,,              1.85,              2.00,              1.29,,              1.32,,              0.44,              0.30,              0.33,              0.29,              0.35,,              0.33,              1.28,              0.29,              0.47,              0.63,              0.51,              0.71,              0.97,              0.91,,,,,,,
Comoros,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             46.61,             42.15,             30.56,             31.80,             36.45,             36.70,             34.93,             40.19,             40.36,             47.39,             46.64,             36.63,             37.36,             26.97,             13.01,             21.60,             15.21,             23.24,             18.87,             16.09,             15.98,             14.17,             19.04,             17.94,             21.17,             25.37,             21.92,,,,,,,
Comoros,World,Intermediate goods,Export,Export(US$ Mil),              6.80,              4.87,             12.65,             14.88,              4.15,              3.09,              3.00,              3.07,              2.25,              2.31,              3.09,              2.63,              2.28,              1.12,              0.54,              0.21,              0.19,              0.06,              0.01,              0.06,              0.18,              0.39,              0.20,              0.87,              1.70,              1.79,              2.34,,,,,,,
Comoros,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             19.07,,,              7.49,             11.64,              9.18,              6.61,,,,,,,              5.60,,              5.74,              3.04,              4.90,,,              2.01,,,,,,             10.88,,,,,,,
Comoros,World,Textiles and Clothing,Export,Export(US$ Mil),              0.04,              0.03,              0.49,              0.06,              0.06,              0.01,              0.03,              0.19,              0.06,              0.08,              0.01,              0.08,              0.05,              0.00,,              0.04,              0.01,              0.03,              0.03,              0.06,              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,,
Comoros,World,Food Products,Export,Export(US$ Mil),              0.05,              0.18,              0.07,              0.02,              0.00,              0.07,              0.23,              0.01,              0.06,              0.00,              0.00,              0.00,              0.02,              0.00,,,              0.00,,              0.01,              0.00,              0.01,              0.00,              0.00,,              0.00,              0.00,,,,,,,,
Comoros,World,Consumer goods,Import,Import(US$ Mil),            277.31,            127.71,             96.84,             99.86,            112.77,            109.53,             89.90,            107.82,             97.02,            100.48,             93.90,             82.28,             87.41,             55.34,             31.14,             40.71,             40.93,             32.56,             22.24,             16.68,             16.92,             21.22,             58.49,             22.90,             20.25,             18.32,             28.11,,,,,,,
Comoros,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              6.83,,,              0.20,,,,,,,,,,,,,,,,
Comoros,World,Transportation,Export,Export(US$ Mil),              3.56,              0.17,              0.13,              0.20,              0.60,              0.23,              0.55,              1.98,              0.60,              0.13,              2.46,              0.32,              0.09,              0.06,,              0.09,              0.28,              0.18,              0.06,              0.09,              0.03,              0.11,              0.06,              0.07,              0.19,              0.13,              0.10,,,,,,,
Comoros,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             28.28,             18.41,             19.44,             23.91,             19.24,             16.11,             11.89,             13.18,             17.73,             14.86,              9.04,             13.89,             11.38,              6.38,              4.42,              5.32,,,,,,,,,,,              3.20,,,,,,,
Comoros,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              2.68,              1.43,              2.52,              2.19,,,,              2.09,,,,,,              0.19,              0.06,,,              0.12,              0.21,,,,              0.19,              0.18,,,,,,,,
Comoros,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,              0.19,,,,,,,,,,,
Comoros,Madagascar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              1.58,              4.87,,              3.00,,,              6.10,              1.35,,              2.58,              1.54,,,,,,,,,,,,              0.43,              0.35,,,,,,,,,
Comoros,World,Raw materials,Import,Import(US$ Mil),             43.82,             45.31,             25.22,             22.91,             20.04,             19.86,             18.42,             16.04,             14.47,             16.84,             17.52,             17.66,             13.52,             25.49,              5.72,              8.19,             11.24,              8.60,              6.38,              4.95,              4.48,              3.59,              5.03,              4.36,             11.07,             11.91,              6.21,,,,,,,
Comoros,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              0.39,,,,,,,,,,,,,,,
Comoros,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,              0.11,,,,,,,
Comoros,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              0.94,              0.24,              0.60,,              0.28,,,,,,,,,,
Comoros,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             31.10,,,,,,,,,,,,,,,,,,,
Comoros,World,Hides and Skins,Export,Export(US$ Mil),              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,,              0.00,              0.00,              0.01,              0.00,,              0.00,              0.00,,,,,              0.00,              0.00,              0.00,              0.00,,,,,,,,,,,,
Comoros,...,...,Development,Trade Balance (current US$ Mil),,,           -191.86,           -195.62,           -176.29,           -159.90,           -169.37,           -228.57,           -236.04,           -232.82,           -205.52,           -184.07,           -174.49,           -181.08,           -120.99,           -126.31,           -118.25,           -114.61,            -98.90,            -77.03,            -68.45,            -63.50,            -69.17,            -66.93,            -65.91,            -71.63,            -72.06,            -57.73,            -81.90,            -82.72,            -76.70,            -77.69,            -61.75,            -64.47
Comoros,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              6.95,              5.27,             22.43,             16.75,              6.97,              3.53,              3.43,              3.77,              5.08,              3.30,              3.71,              3.17,              5.44,              2.22,              1.02,              1.38,              2.80,              1.00,              4.53,              4.13,              6.09,              2.97,              1.36,              2.37,              2.67,              3.79,              5.80,,,,,,,
Comoros,...,...,Tariff,No. Of Tariff Agreement,              4.00,              4.00,              4.00,              4.00,              4.00,,              4.00,              5.00,              4.00,              4.00,              4.00,              4.00,,              4.00,,,,,,,,,,,,,,,,,,,,
Comoros,Yemen,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,              0.43,,,,,,,,,,,,,,,
Comoros,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             14.26,              8.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,World,Wood,Export,Export(US$ Mil),              0.00,              0.02,              0.01,              0.02,              0.01,              0.00,              0.00,              0.05,              0.00,              0.02,              0.00,              0.00,              0.01,              0.00,,              0.00,              0.00,              0.00,              0.00,,              0.00,              0.00,              0.01,,,              0.05,              0.00,,,,,,,
Comoros,World,Mach and Elec,Export,Export(US$ Mil),              2.42,              0.49,              3.59,              0.65,              2.34,              0.52,              0.20,              2.20,              0.69,              0.22,              0.02,              0.14,              0.30,              0.04,,              0.01,              0.00,              0.01,              0.01,              0.00,              0.03,              0.08,              0.02,              0.38,              0.03,              0.04,              0.09,,,,,,,
Comoros,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,              5.83,,,,,,,
Comoros,...,...,Development,GDP (current US$ Mil),,           1219.69,           1165.84,           1178.53,           1077.44,           1012.84,            966.03,           1149.59,           1116.22,           1015.84,           1023.09,            907.98,            905.34,            915.66,            795.67,            698.43,            653.85,            633.71,            546.89,            425.96,            378.51,            351.14,            382.45,            370.11,            364.45,            396.05,            398.46,            319.19,            452.88,            457.39,            424.11,            429.62,            341.48,            356.50
Comoros,World,Metals,Export,Export(US$ Mil),              3.31,              0.38,              0.62,              0.28,              0.14,              0.18,              0.05,              0.11,              0.35,              0.14,              0.47,              1.71,              0.19,              0.20,,              0.00,              0.01,              0.05,              0.00,              0.00,              0.03,              0.01,              0.00,              0.00,              0.07,              0.00,              0.01,,,,,,,
Comoros,Mayotte,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             11.50,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              1.67,,              1.24,,,              1.29,,              1.55,              1.59,              2.52,              0.74,              0.77,              0.19,,,,,,,,,,,,              0.16,,,,,,,,
Comoros,World,All Products,Tariff,Duty Free Imports (US$ Thousand),         154605.11,         113759.02,         112250.54,          83049.53,          71235.90,,          68913.37,          91244.27,          89680.68,          37270.62,          73331.04,          73331.04,,          79971.91,,,,,,,,,,,,,,,,,,,,
Comoros,"Hong Kong, China",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,              5.55,,,,,,,,,,,,,,,,,,,,,
Comoros,World,Stone and Glass,Export,Export(US$ Mil),              0.01,              0.01,              0.00,              0.03,              0.01,              0.01,,              0.00,              0.00,              0.00,              0.00,              0.00,              0.06,              0.00,,              0.00,              0.00,              0.00,              0.02,              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,,
Comoros,World,Intermediate goods,Import,Import(US$ Mil),             72.08,             71.76,             60.01,             57.38,             50.97,             48.04,             50.17,             50.51,             54.98,             57.14,             56.82,             49.48,             53.28,             27.40,             11.00,             22.19,             16.85,             13.99,              9.51,              9.16,              5.98,              7.58,              8.72,              9.37,             13.22,             12.34,             13.66,,,,,,,
Comoros,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              1.96,,,,,,,,,,,,              0.43,              0.18,,,,              0.68,,              2.66,              0.62,              1.13,              1.39,,              1.01,              0.75,              3.44,,,,,,,
Comoros,Indonesia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,              1.27,,,,,,,,,,,,,,
Comoros,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,              0.12,,,              0.43,,,,,,,
Comoros,Vietnam,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,              9.31,,,,,,,,,,,,,,,,,,,,,,,
Comoros,World,All Products,Import,Imports (in US$ Mil),            442.88,            267.72,            201.19,            229.71,            209.13,            196.29,            173.44,            192.57,            210.48,            206.90,            210.61,            180.50,            180.10,            119.11,            120.49,            101.39,             85.15,             64.96,             45.86,             37.13,             35.14,             36.28,             79.85,             46.95,             55.03,             56.64,             62.39,,,,,,,
Comoros,World,Capital goods,Import,Import(US$ Mil),             45.66,             20.01,             15.26,             44.64,             25.35,             18.86,             14.95,             18.19,             38.47,             32.44,             42.36,             31.08,             25.90,             10.88,             41.49,             30.20,             16.09,              9.76,              7.68,              6.32,              7.53,              2.98,              4.39,              6.97,              5.75,              8.47,              6.35,,,,,,,
Comoros,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,              1.14,,,,,,,,,,,,,,
Comoros,World,All Products,Export,Exports (in US$ Mil),             34.99,             19.80,             49.02,             46.21,             38.41,             29.83,             15.47,             25.68,             16.60,             20.61,             26.74,             14.44,             12.67,              4.29,              8.53,              2.59,              3.74,              7.91,              6.48,              9.35,              7.69,              7.18,              4.65,              3.94,              5.63,              6.14,             11.02,,,,,,,
Comoros,...,...,Import,No. Of Import partners,            101.00,             95.00,             97.00,            101.00,             94.00,             93.00,             85.00,             78.00,             77.00,             80.00,             76.00,             75.00,             79.00,             75.00,             62.00,             67.00,             72.00,             67.00,             57.00,             48.00,             58.00,             53.00,             46.00,             45.00,             46.00,             59.00,             54.00,,,,,,,
Comoros,Mauritius,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              2.78,              2.66,,,,,,,,,,              0.08,,              0.33,,,,,,,,,,,,,,,
Comoros,World,Fuels,Export,Export(US$ Mil),              0.02,              0.00,              0.01,              0.00,              0.01,,              0.00,              0.41,              0.00,              0.00,              0.02,              0.01,              0.00,,,,,,,,              0.00,,,,              0.01,,,,,,,,,
Comoros,World,Chemicals,Export,Export(US$ Mil),              6.50,              4.73,             12.58,             14.72,              4.11,              2.98,              2.98,              2.60,              2.22,              2.24,              2.41,              2.43,              2.33,              1.05,              0.54,              0.21,              0.19,              0.01,              0.01,              0.05,              0.18,              0.40,              0.25,              0.87,              1.71,              1.79,              2.33,,,,,,,
Comoros,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,              2.01,              1.08,              4.86,             10.12,              3.43,              3.11,              0.54,              0.11,              0.18,,              0.16,,,,              1.08,              0.45,,,,,,,,,,,
