Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cape Verde,World,Consumer goods,Export,Export(US$ Mil),,             39.60,             45.93,             55.39,             35.78,             33.40,             33.17,             38.95,             32.49,            212.15,            157.09,             87.78,             95.37,,             67.64,             67.24,             52.07,              9.50,              7.30,              5.81,              5.42,             30.16,             19.93,             22.53,             34.69,,,,,,,,,
Cape Verde,World,Minerals,Export,Export(US$ Mil),,              0.00,              0.10,              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.11,              0.00,              0.00,,              0.00,              0.06,              0.00,              0.00,,              0.00,,              0.00,              0.00,              0.00,              0.00,,,,,,,,,
Cape Verde,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             26.83,,,,,,,             14.83,,,              8.93,             10.57,              8.99,,,,,,,,,
Cape Verde,World,Raw materials,Export,Export(US$ Mil),,              8.91,              9.84,             12.83,              9.23,             23.11,             29.52,             35.53,             30.32,             56.09,             56.35,             37.72,             15.33,,              9.98,             11.89,             10.56,              0.39,              0.75,              0.14,              0.04,              0.94,              1.85,              1.75,              1.91,,,,,,,,,
Cape Verde,Morocco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,              1.85,              3.98,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,World,Capital goods,Export,Export(US$ Mil),,              0.33,              0.35,              0.01,,,              0.01,,,             59.85,             82.30,             87.03,             54.69,,             31.42,             24.82,             21.82,              0.00,              0.07,              0.10,              0.30,             11.87,             16.96,             16.41,             39.48,,,,,,,,,
Cape Verde,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,              0.00,,,              0.88,              1.04,              0.82,              0.53,,              0.55,              0.51,              0.23,,,              0.00,              0.00,              0.23,              0.28,              0.15,              0.03,,,,,,,,,
Cape Verde,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,             28.23,,,,,             19.69,             14.98,,             12.66,             13.66,,,,,,,,,,,
Cape Verde,World,Vegetable,Export,Export(US$ Mil),,              0.14,              0.31,              0.23,              0.10,              0.05,              0.08,              0.09,              0.01,              0.26,              5.60,              0.22,              0.37,,              0.18,              1.02,              0.19,              0.00,              0.77,              0.00,,              0.11,              0.06,              0.05,              0.04,,,,,,,,,
Cape Verde,World,Footwear,Export,Export(US$ Mil),,              2.66,              3.31,              4.12,              3.73,              3.43,              3.75,              5.41,              5.06,              4.40,              4.76,              4.40,              3.69,,              4.60,              2.93,              2.87,              4.68,              4.04,              3.82,              4.11,              5.81,              6.50,              6.25,              8.07,,,,,,,,,
Cape Verde,World,Miscellaneous,Export,Export(US$ Mil),,              1.14,              1.37,              1.60,              1.10,              0.14,              0.00,,              0.01,              2.21,              6.05,              5.67,              6.60,,              1.25,              2.06,              3.26,              0.03,,              0.01,              0.19,              0.24,              3.29,              0.26,              0.08,,,,,,,,,
Cape Verde,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             35.19,             29.10,             11.91,,,,,,,,,,,,,,,,,
Cape Verde,...,...,Import,No. Of Import products,,           3179.00,           3248.00,           3233.00,           3210.00,           3201.00,           3157.00,           3122.00,           3122.00,           3088.00,           3096.00,           3106.00,           3075.00,           3050.00,           3141.00,           3142.00,           3119.00,           2959.00,           2963.00,           2937.00,           2863.00,           2916.00,           2948.00,           2894.00,           2866.00,,,,,,,,,
Cape Verde,...,...,Export,No. Of Export products,,            105.00,             58.00,             58.00,             54.00,             40.00,             61.00,             54.00,             60.00,           1352.00,           1347.00,           1149.00,            987.00,,            964.00,            961.00,            996.00,             58.00,             54.00,             69.00,             62.00,            826.00,            808.00,            545.00,            483.00,,,,,,,,,
Cape Verde,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,...,...,Export,No. Of Export partners,,             13.00,             16.00,             20.00,             16.00,             15.00,             22.00,             26.00,             27.00,             75.00,             50.00,             35.00,             47.00,,             39.00,             44.00,             44.00,             16.00,             14.00,             14.00,             13.00,             40.00,             22.00,             30.00,             28.00,,,,,,,,,
Cape Verde,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              1.33,              0.42,,,,,,,,             41.53,              3.58,              9.70,,,,,,              0.13,              0.25,              0.06,,,,,,,,,,,,,
Cape Verde,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,             70.85,,,,,,,             11.13,,             11.27,             22.90,,,,,,,,,
Cape Verde,World,Intermediate goods,Export,Export(US$ Mil),,              4.25,              5.76,              7.03,              4.92,              3.86,              4.13,              5.93,              6.40,              7.99,             10.02,              7.65,              5.91,,              5.53,              6.33,              4.97,              5.30,              4.34,              4.56,              3.91,              6.31,             11.41,              6.02,              5.46,,,,,,,,,
Cape Verde,World,Textiles and Clothing,Export,Export(US$ Mil),,              3.99,              6.55,              6.71,              6.50,              6.28,              5.44,              5.72,              4.28,              2.98,              6.61,              5.31,              6.37,,              6.81,              4.95,              7.19,              8.76,              6.64,              5.20,              4.85,              3.74,              2.47,              1.97,              2.72,,,,,,,,,
Cape Verde,World,Food Products,Export,Export(US$ Mil),,             35.78,             39.60,             48.94,             28.56,             27.32,             27.85,             33.35,             28.17,             28.75,             33.27,             19.96,             12.80,,              1.59,              1.78,              1.06,              0.43,              0.35,              0.18,              0.28,              0.53,              0.45,              0.59,              2.43,,,,,,,,,
Cape Verde,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             23.09,             22.95,,             25.54,             30.78,             35.61,             31.91,             32.30,             48.86,             45.78,             34.71,             36.99,             21.42,,,,,,,,,,,,,,,,
Cape Verde,Curaçao,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,World,Consumer goods,Import,Import(US$ Mil),,            693.11,            429.72,            437.81,            404.60,            361.84,            334.56,            415.47,            439.70,            390.64,            517.96,            371.45,            365.61,            424.16,            349.12,            283.15,            234.46,            204.53,            201.21,            149.60,            132.52,            123.94,            130.87,            117.89,            127.26,,,,,,,,,
Cape Verde,Jamaica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,             10.05,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            122.89,             97.11,             43.00,             51.27,,,,,              0.05,              0.10,,,,,,              9.56,,,,,,,,,
