Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cayman Islands,World,Consumer goods,Export,Export(US$ Mil),              2.54,              5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Minerals,Export,Export(US$ Mil),              0.03,              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Raw materials,Export,Export(US$ Mil),              3.12,              1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Capital goods,Export,Export(US$ Mil),              8.92,             11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Plastic or Rubber,Export,Export(US$ Mil),              0.16,              0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Jamaica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             51.89,             47.94,,,,,             11.22,,             83.90,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             38.06,             63.37,,,,,,,             40.16,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             19.28,             14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             11.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Vegetable,Export,Export(US$ Mil),              0.71,              0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Footwear,Export,Export(US$ Mil),              0.00,              0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Miscellaneous,Export,Export(US$ Mil),              2.57,              4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,...,...,Import,No. Of Import products,           3334.00,           3306.00,,,,,              1.00,,              1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             17.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,...,...,Export,No. Of Export products,            475.00,            298.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Oman,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             40.92,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,...,...,Export,No. Of Export partners,              3.00,              3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             19.35,             16.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,World,Intermediate goods,Export,Export(US$ Mil),              1.27,              0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
