Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Cyprus,World,Consumer goods,Export,Export(US$ Mil),           2108.01,           1581.35,           1577.80,           2821.94,           1535.64,           1191.64,           1238.12,            994.09,            845.42,            738.32,           1019.78,            782.04,            708.27,            952.84,            842.79,            756.82,            757.48,            630.09,            594.46,            551.16,            653.31,            692.27,            674.90,            713.80,            899.72,            957.14,            794.74,            622.22,            604.76,            694.17,            619.77,            593.07,            481.74,
Cyprus,World,Minerals,Export,Export(US$ Mil),             21.55,             19.41,             17.61,             28.37,             29.91,             74.73,             89.15,             81.82,             72.48,             31.15,             20.71,             16.47,             17.80,             17.96,             24.32,             27.58,             18.72,             16.23,             26.55,             21.43,             18.80,             23.11,             21.66,             24.57,             30.24,             23.20,             20.46,             26.64,             14.56,             16.08,             15.37,             20.23,             15.20,
Cyprus,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            637.50,            572.66,            549.11,,            644.40,           1310.01,            486.43,            604.53,            418.91,            515.10,            705.80,            774.03,            683.97,            890.36,            810.78,            624.22,            527.96,            512.73,            336.06,            359.34,            268.07,            269.09,            248.16,            311.94,            220.65,            280.79,            301.29,            247.79,,            297.53,            250.39,            231.90,            208.23,
Cyprus,World,Raw materials,Export,Export(US$ Mil),            241.87,            177.41,            192.09,            197.43,            191.22,            179.23,            167.88,            224.59,            272.25,            267.75,            316.69,            226.20,            196.10,            276.80,            248.11,            203.96,            170.42,            167.20,            117.52,             92.27,             96.46,             83.76,             91.22,            109.90,            105.64,            144.77,            177.82,            121.55,            110.47,            130.52,            149.08,            163.28,            129.09,
Cyprus,World,Capital goods,Export,Export(US$ Mil),           1289.98,           1169.37,           1361.50,           1519.19,           1273.45,           1319.91,           1635.73,           1555.91,            482.26,            237.77,            312.69,            275.48,            286.08,            288.30,            262.25,            359.96,            509.01,            291.00,            136.93,            119.42,            135.54,             95.83,             97.29,            101.05,             87.76,            129.54,            112.29,             80.74,             78.32,             83.14,             81.60,             99.32,            100.73,
Cyprus,World,Plastic or Rubber,Export,Export(US$ Mil),             36.70,             30.48,             27.87,             29.27,             27.32,             23.08,             18.70,             20.05,             21.51,             20.98,             20.21,             14.61,             11.89,             17.18,             14.20,             11.66,             12.93,             13.23,             11.20,             11.99,              8.24,              8.14,              9.92,             10.13,             11.43,             12.49,             14.15,             10.13,              9.04,              8.75,              7.69,              7.38,              6.74,
Cyprus,Romania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,             42.88,,,,,,,,,,,,,,,,,,,
Cyprus,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            736.48,            646.55,            711.68,,            430.82,            599.82,            498.01,            412.57,            529.41,            766.26,            704.81,            721.46,            945.61,            848.82,            628.84,            560.97,            490.51,            371.77,            341.26,            345.01,            407.49,            413.22,            415.91,            422.50,            447.55,            434.59,            343.50,            318.95,            373.02,            339.82,            325.28,            259.91,
Cyprus,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            207.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            218.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
