Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Czech Republic,World,Consumer goods,Export,Export(US$ Mil),          85230.45,          73596.19,          75532.09,          76927.35,          72197.85,          65741.17,          62422.45,          67263.07,          60547.75,          58057.38,          59118.00,          49044.98,          42585.68,          50973.37,          43903.84,          34920.16,          28402.57,          23186.32,          17327.57,          17262.21,          12890.22,          11153.19,          10098.63,          10355.00,           8283.34,           7851.14,           6608.32,           4654.50,           4152.36,,,,,
Czech Republic,World,Minerals,Export,Export(US$ Mil),            351.20,            313.67,            305.98,            303.36,            296.35,            246.71,            243.46,            304.35,            300.84,            279.91,            338.06,            262.17,            193.86,            239.72,            194.34,            164.39,            163.79,            168.38,            131.76,            134.73,            116.09,            130.03,            141.82,            143.92,            141.84,            313.95,            180.26,            191.81,            216.50,,,,,
Czech Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          46932.18,          39942.87,          44101.05,          46370.43,          42065.68,          37779.18,          36564.62,          40155.00,          36880.51,          35674.36,          38938.45,          32057.29,          27960.03,          38009.39,          32771.96,          26583.08,          22965.40,          21227.73,          16685.35,          14882.86,          12013.81,          10379.56,           9770.48,          10953.74,           8671.92,           8262.07,           8015.70,           3795.43,           3259.84,,,,,
Czech Republic,World,Raw materials,Export,Export(US$ Mil),           8134.83,           5715.61,           5565.12,           5817.14,           5579.30,           4921.45,           5086.43,           6216.18,           6206.84,           6397.04,           6843.54,           5457.66,           4529.69,           5624.41,           4407.33,           3377.01,           2860.93,           2305.54,           1615.71,           1532.99,           1189.68,           1156.46,           1158.66,           1207.29,           1188.00,           1354.66,           1575.12,           1246.15,           1219.53,,,,,
Czech Republic,World,Capital goods,Export,Export(US$ Mil),          99231.00,          88466.70,          91301.67,          91064.32,          78638.92,          69140.06,          66765.61,          73800.84,          67720.53,          65205.41,          68627.45,          52930.52,          44921.47,          60378.36,          50864.16,          37991.38,          30407.59,          27061.71,          19947.35,          16321.91,          11931.27,           9815.86,           9060.35,           9486.11,           7042.01,           6036.77,           5586.74,           3125.26,           2894.78,,,,,
Czech Republic,World,Plastic or Rubber,Export,Export(US$ Mil),          12863.94,          10018.05,          10556.86,          11271.53,          10353.37,           9045.43,           9143.73,          10505.07,           9796.37,           9302.96,           9519.28,           7603.64,           6325.90,           7960.81,           6903.38,           5410.86,           4750.36,           3894.19,           2848.76,           2467.66,           1841.33,           1698.43,           1497.09,           1451.62,           1238.38,           1176.31,           1183.75,            680.43,            534.54,,,,,
Czech Republic,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17308.25,          13503.62,          13685.79,          14135.08,          12559.44,          11776.83,          11159.83,          11865.46,          10756.29,           9966.39,          10001.66,           8041.08,           6736.39,           8290.83,           6684.49,           5270.90,           3789.02,           3218.98,,,,,,,,,,,,,,,,
Czech Republic,World,Vegetable,Export,Export(US$ Mil),           2794.98,           2265.78,           2070.18,           2098.81,           2207.96,           2436.61,           2649.24,           2584.66,           2427.39,           2396.05,           1976.24,           1454.17,           1547.16,           1719.48,           1362.20,            859.88,            912.02,            509.42,            434.58,            367.53,            327.91,            429.81,            391.90,            317.73,            284.46,            349.38,            479.41,            288.91,            280.51,,,,,
Czech Republic,World,Footwear,Export,Export(US$ Mil),           1256.16,           1125.42,           1034.60,            993.15,           1217.16,            995.17,            896.29,            984.60,            898.16,            807.28,            700.78,            542.89,            474.02,            488.87,            452.18,            338.85,            310.90,            246.27,            187.14,            212.68,            209.29,            204.62,            250.25,            247.15,            275.50,            381.98,            351.40,            270.66,            243.41,,,,,
Czech Republic,World,Miscellaneous,Export,Export(US$ Mil),          17025.40,          14530.99,          14729.65,          15013.56,          13654.51,          12434.02,          11171.01,          11491.29,          10481.21,           9188.94,           9267.00,          10907.12,           8875.19,          11445.20,           6868.68,           7097.81,           4803.23,           3924.85,           2996.98,           2489.24,           2105.82,           1843.91,           1833.30,           2068.17,           1530.07,           1446.93,           1592.97,           1257.79,            955.82,,,,,
