Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Germany,World,Consumer goods,Export,Export(US$ Mil),         564669.98,         487896.20,         519148.20,         544090.49,         513675.08,         477193.32,         476147.69,         525679.68,         501595.07,         484520.77,         509493.53,         436545.69,         395966.97,         491212.57,         438516.61,         373500.30,         333837.86,         297629.70,         252599.15,         213190.78,         190853.93,         170225.11,         175708.26,         177020.63,         157880.41,         159865.49,         157129.09,         135050.31,         119188.63,         138115.74,         124724.22,         126894.75,         105989.60,          99984.34
Germany,World,Minerals,Export,Export(US$ Mil),           5887.02,           3991.14,           3785.51,           3675.05,           3357.09,           2610.71,           2594.35,           3003.62,           3070.32,           3015.91,           3476.09,           2965.22,           2872.50,           3705.01,           2820.32,           2531.06,           2137.92,           1900.44,           1528.16,           1352.96,           1226.19,           1128.96,           1266.93,           1266.66,           1269.21,           1342.43,           1406.48,           1184.74,           1037.63,           1342.78,           1260.86,           1307.07,           1184.65,           1023.59
Germany,World,Raw materials,Export,Export(US$ Mil),          45953.66,          38277.20,          37518.43,          38142.60,          37805.40,          34956.85,          35667.91,          43516.04,          43916.80,          43570.93,          47054.18,          39238.46,          33259.09,          42717.00,          33796.83,          28490.85,          23710.99,          19843.46,          16128.82,          14615.85,          13517.04,          12324.34,          12886.31,          13226.98,          13111.54,          13856.83,          14423.03,          11951.70,          10283.49,          12736.60,          12425.71,          11398.98,          10297.00,           9029.88
Germany,World,Capital goods,Export,Export(US$ Mil),         619053.37,         540566.52,         599247.67,         621786.53,         570000.86,         517828.23,         506178.37,         569498.40,         554791.51,         539066.87,         560307.70,         477522.23,         419049.56,         560018.89,         499004.56,         441345.85,         387813.39,         352832.09,         283028.31,         244079.57,         228940.71,         213338.77,         210675.96,         211483.02,         194081.65,         196963.85,         194077.46,         155065.34,         136240.35,         157434.29,         149004.54,         144720.00,         122490.62,         114285.98
Germany,World,Plastic or Rubber,Export,Export(US$ Mil),          91969.44,          73714.92,          77736.69,          83926.93,          77188.12,          71366.64,          69749.20,          81149.55,          78811.07,          75529.83,          80732.56,          68937.08,          60662.86,          70176.68,          71792.56,          61977.53,          54881.94,          48831.38,          39759.31,          33180.18,          30295.64,          29480.51,          29506.54,          29614.19,          28712.73,          28858.41,          29525.14,          23874.36,          20332.23,          23645.98,          22172.26,          22196.61,          19035.53,          18903.71
Germany,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,          48502.84,          42682.50,          36113.98,          30821.19,          32813.93,          34910.04,          32303.03,          31925.65,          31058.33,          31530.96,,          23918.75,          21448.74,          27942.69,          25777.92,          23061.77,,          17333.90
Germany,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          81518.31,          66815.19,          64465.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,World,Vegetable,Export,Export(US$ Mil),          22073.35,          19108.06,          17212.03,          18079.03,          17913.33,          17805.06,          17629.78,          19521.93,          20312.01,          18344.21,          19010.60,          15419.96,          14688.64,          17908.02,          12236.97,           9769.63,           8683.64,           7573.82,           6838.67,           6420.30,           5789.31,           5369.14,           6384.21,           6986.50,           6510.80,           7127.35,           7048.86,           5626.44,           4718.41,           5708.06,           4873.62,           4603.17,           4380.18,           3901.04
Germany,World,Footwear,Export,Export(US$ Mil),          10726.99,           9250.93,           9979.81,           9543.10,           8184.95,           6702.98,           5842.28,           6510.02,           5768.43,           5089.69,           6057.50,           4667.13,           4450.44,           4844.75,           3696.19,           3224.08,           2826.19,           2496.46,           2060.84,           1889.13,           1539.19,           1443.39,           1572.77,           1625.52,           1531.91,           1567.63,           1614.32,           1493.26,           1350.92,           1506.42,           1544.75,           1324.17,           1147.68,            992.59
Germany,World,Miscellaneous,Export,Export(US$ Mil),         162026.80,         141178.94,         155368.95,         161535.48,         140958.86,         142229.42,         139349.75,         156100.10,         147878.69,         142636.53,         147110.19,         130064.78,         117173.72,         152552.89,         166995.44,         113674.23,          96826.71,         119060.23,          97185.12,          59471.18,          57013.17,          71426.66,          57497.52,          51942.20,          53849.20,          58663.35,          59340.22,          45220.89,          46928.24,          44159.06,          40993.38,          39689.25,          32769.06,          32037.53
