Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Dominican Republic,World,Consumer goods,Export,Export(US$ Mil),           4638.07,           3617.97,           4869.60,           4781.21,           4602.02,           4230.07,           4278.99,           4078.89,           2936.35,           3401.33,           2668.23,           2137.51,           2733.25,           3303.53,           3474.31,           3715.84,           3685.68,           3671.83,           3556.46,           3446.98,            188.16,,,,,,,,,,,,,
Dominican Republic,World,Minerals,Export,Export(US$ Mil),            142.06,             88.54,            125.14,            150.27,            143.59,            144.29,            170.79,            209.63,            210.61,            214.35,             91.73,             87.07,             85.24,             81.50,             63.01,             25.23,             14.16,              9.69,              7.58,              9.50,             11.31,,,,,,,,,,,,,
Dominican Republic,World,Raw materials,Export,Export(US$ Mil),           1134.35,            904.79,           1059.62,           1056.48,            936.14,           1113.61,           1016.91,           1143.24,            915.39,            886.18,            765.71,            587.97,            590.34,            617.78,            498.93,            471.07,            372.58,            342.93,            348.35,            333.56,            174.04,,,,,,,,,,,,,
Dominican Republic,World,Capital goods,Export,Export(US$ Mil),           2439.77,           2264.49,           2182.19,           2049.41,           1929.96,           1785.02,           1682.24,           1726.36,           1399.48,           1335.27,           1176.51,           1118.57,           1267.04,           1459.03,           1308.17,           1288.82,           1317.16,           1203.72,           1036.32,            922.80,             15.37,,,,,,,,,,,,,
Dominican Republic,World,Plastic or Rubber,Export,Export(US$ Mil),            769.69,            611.19,            666.92,            688.11,            615.72,            515.42,            504.65,            498.03,            433.51,            481.82,            354.94,            153.69,            286.72,            236.05,            219.98,            156.44,            109.77,             75.28,             74.20,             74.44,             24.88,,,,,,,,,,,,,
Dominican Republic,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            394.31,,,            442.27,            216.14,,,,,,,,,,,,,
Dominican Republic,World,Vegetable,Export,Export(US$ Mil),            626.80,            557.14,            683.70,            617.82,            605.71,            742.36,            630.59,            729.05,            462.68,            443.91,            457.70,            380.61,            296.61,            284.93,            222.01,            175.62,            135.23,            111.41,            143.69,            133.21,            111.33,,,,,,,,,,,,,
Dominican Republic,World,Footwear,Export,Export(US$ Mil),            216.83,            218.00,            300.09,            323.56,            406.72,            382.36,            457.49,            429.09,            323.80,            317.31,            259.13,            204.27,            200.26,            220.63,            247.65,            255.16,            260.92,            235.03,            182.71,            213.04,              3.03,,,,,,,,,,,,,
Dominican Republic,World,Miscellaneous,Export,Export(US$ Mil),           1350.14,           1187.90,           1125.56,           1073.49,           1054.65,           1158.98,           1062.53,            984.68,            842.62,            752.31,            704.65,            710.95,            733.06,            702.28,            624.62,            739.55,            677.85,            709.24,            603.86,            597.74,             56.95,,,,,,,,,,,,,
Dominican Republic,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            231.69,            355.63,            330.30,            125.47,            110.26,,            273.87,,,,,,,,,,,,,,,,,,,
Dominican Republic,...,...,Import,No. Of Import products,           3888.00,           3972.00,           4056.00,           4086.00,           4085.00,           4128.00,           4106.00,           4110.00,           4102.00,           4105.00,           4132.00,           4166.00,           4152.00,           4116.00,           4068.00,           4208.00,           4239.00,           4181.00,           4207.00,           4276.00,           3928.00,,,,,,,,,,,,,
Dominican Republic,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            667.11,,            420.89,            689.41,            576.52,            591.61,            566.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,...,...,Export,No. Of Export products,           2845.00,           2850.00,           2914.00,           2927.00,           2940.00,           2850.00,           2853.00,           2816.00,           2783.00,           2606.00,           1632.00,           1488.00,           1634.00,           1610.00,           1600.00,           1364.00,           1300.00,           1323.00,           1304.00,           1201.00,            817.00,,,,,,,,,,,,,
Dominican Republic,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            961.45,           1165.45,            783.95,,,,,            249.50,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            130.49,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,...,...,Export,No. Of Export partners,            138.00,            142.00,            138.00,            147.00,            142.00,            135.00,            145.00,            155.00,            146.00,            147.00,            136.00,            138.00,            141.00,            136.00,            141.00,            127.00,            127.00,            130.00,            134.00,            123.00,             98.00,,,,,,,,,,,,,
Dominican Republic,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            946.72,            769.20,            885.49,            805.30,            899.73,           1072.63,            844.07,           1114.73,           1121.76,            951.19,           1084.94,            908.65,            604.48,            896.59,            836.82,,,,,,            365.79,,,,,,,,,,,,,
Dominican Republic,World,Intermediate goods,Export,Export(US$ Mil),           3431.02,           3056.81,           3175.79,           2870.91,           2756.53,           2656.49,           2410.52,           2979.25,           2709.63,           1545.61,           1502.07,            922.64,            892.65,           1432.85,           1919.80,           1210.67,            812.59,            724.62,            557.27,            529.09,            261.48,,,,,,,,,,,,,
Dominican Republic,World,Textiles and Clothing,Export,Export(US$ Mil),            894.54,            688.92,           1168.97,           1203.81,           1333.00,           1156.75,           1302.75,           1344.03,           1118.38,           1125.54,            980.12,            826.24,            935.05,           1170.08,           1375.23,           1742.39,           1917.24,           2138.84,           2206.82,           2243.15,              8.56,,,,,,,,,,,,,
Dominican Republic,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            970.66,            752.21,            793.37,            835.32,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,World,Food Products,Export,Export(US$ Mil),           2060.59,           1636.85,           1801.56,           1749.15,           1596.95,           1620.61,           1574.01,           1450.19,           1281.98,           1199.42,           1023.42,            930.92,            949.58,            962.82,            879.90,            760.28,            603.86,            609.23,            568.41,            607.14,            215.40,,,,,,,,,,,,,
Dominican Republic,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            875.16,            549.40,            769.39,            816.72,            665.00,            847.64,            605.42,,,,,,,,,            339.18,            282.84,            254.05,            191.45,,,,,,,,,,,,,,,
Dominican Republic,World,Consumer goods,Import,Import(US$ Mil),          12249.84,           8732.89,          10686.46,          10585.38,           9632.10,           9206.27,           8948.60,           9212.72,           8548.46,           8098.13,           8112.54,           6684.68,           6003.83,           7629.38,           6522.80,           6236.63,           4605.90,           3472.54,           3351.53,           3971.51,           1754.80,,,,,,,,,,,,,
Dominican Republic,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            137.18,            182.35,,             98.56,             98.35,,             29.87,,,,,,,,,,,,,
Dominican Republic,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            493.66,            561.03,            497.78,            395.84,            433.88,            578.93,,,,,            333.13,,,,,,,,            125.52,,,,,,,,,,,,,
Dominican Republic,World,Transportation,Export,Export(US$ Mil),             25.45,             14.78,             25.45,             32.89,             28.63,             25.60,             37.69,             18.42,             15.13,             13.14,             16.00,             12.22,              5.58,              6.56,              4.92,              2.93,              3.08,             11.09,              6.23,              4.03,              0.98,,,,,,,,,,,,,
