Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Consumer goods,Export,Export(US$ Mil),        2176483.06,        1764837.65,        1820977.84,        1809415.67,        1667913.44,        1552565.41,        1641671.67,        1789510.98,        1708880.76,        1648242.48,        1552530.76,        1288076.66,        1010842.09,        1253874.23,        1089690.74,         934471.40,         802113.80,         695954.29,         580948.75,         507974.27,         473528.06,         495204.84,         411010.88,         392355.96,         423137.87,         387684.00,         385620.69,         344527.74,         310949.25,         228971.98,         168511.78,         150601.05,         138727.14,         107270.75
,World,Minerals,Export,Export(US$ Mil),         164880.98,         112800.24,         102281.02,          84296.58,          78751.00,          64470.33,          65142.13,          91215.06,         100201.06,          86471.05,          98367.54,          73608.07,          42631.37,          48572.44,          37533.61,          31646.48,          23619.88,          15163.17,          12381.40,          10397.53,          10644.57,          11158.55,           9219.31,          10375.01,          10597.24,          10349.26,           9027.71,           6878.07,           6634.75,           6788.04,           5724.83,           5278.55,           4807.32,           3282.34
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,          42365.96,          35024.68,          29665.22,          25010.85,          24305.57,          19362.20,          13454.29
,World,Raw materials,Export,Export(US$ Mil),         442697.50,         319301.09,         344422.33,         344778.09,         332351.45,         273347.57,         276270.20,         346982.07,         366007.59,         366565.82,         395956.58,         300204.62,         217715.31,         266900.87,         201084.83,         181259.46,         152076.19,         125469.19,         101376.48,          89854.91,          88007.73,          88176.93,          67891.56,          70436.67,          81270.59,          79894.55,          73583.69,          67854.47,          61314.69,          62614.70,          49195.46,          48461.98,          46166.80,          20080.42
,World,Capital goods,Export,Export(US$ Mil),        3396523.22,        2737979.06,        2674859.54,        2776150.54,        2546974.57,        2285809.48,        2364362.71,        2413191.44,        2363911.44,        2303251.27,        2217781.31,        1998056.55,        1541915.23,        1784219.39,        1631750.20,        1341151.90,        1158355.03,        1072991.08,         796025.64,         686479.81,         626869.55,         716779.25,         580367.36,         519101.59,         547116.50,         526702.36,         520725.96,         427721.62,         350037.49,         279985.33,         243135.42,         214906.33,         199138.32,         158844.11
,World,Plastic or Rubber,Export,Export(US$ Mil),         373833.03,         283752.77,         275805.66,         279142.87,         258654.28,         228734.30,         236292.02,         261028.72,         260682.51,         258212.43,         256967.93,         206404.86,         147433.05,         174549.00,         156164.13,         136144.42,         115375.85,          96402.12,          76027.43,          63217.51,          56387.81,          61766.95,          52652.30,          50151.63,          53243.72,          51607.02,          53185.56,          39656.80,          33015.64,          24424.63,          20232.10,          18587.59,          18069.03,          10416.25
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         444161.65,         372642.91,         385880.89,         415532.81,         390553.23,         350933.87,         342482.81,         385553.32,         401101.64,         444576.17,         457143.67,         419562.68,         310167.97,         382439.79,         338169.43,         300608.75,         280648.82,         265934.28,         215578.27,         176871.25,         160818.31,         180737.82,         143503.88,         127599.61,         168972.88,         177454.81,         179553.86,         150756.25,         127773.55,          86023.64,          70421.28,          61954.58,          54670.81,          28364.88
,World,Vegetable,Export,Export(US$ Mil),         165071.06,         124652.28,         117896.87,         122834.77,         129341.01,         113106.36,         110358.03,         118984.30,         111873.17,         117100.33,         120896.79,          89062.14,          70288.18,          80889.34,          58637.85,          43998.66,          38900.54,          38420.88,          32616.96,          28900.86,          25893.51,          26943.92,          26097.35,          27984.14,          29347.97,          27414.21,          24104.34,          23797.88,          18965.48,          17849.30,          12130.69,          12167.10,          13197.26,           3297.03
,World,Footwear,Export,Export(US$ Mil),         106493.05,          82791.30,          96168.58,          91677.41,          89387.39,          85606.06,          93685.28,          94898.51,          85553.21,          79101.84,          72472.68,          61083.10,          48450.91,          52920.20,          46547.21,          41702.02,          37537.20,          32563.38,          29068.70,          26376.51,          25801.61,          26467.42,          22977.43,          22980.21,          25676.68,          25080.73,          24843.99,          22598.50,          20315.24,          11733.74,           6775.72,           6539.84,           5101.02,           4181.95
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,          78311.70,          62506.78,          54436.08,,,,,,,,,,
,World,Miscellaneous,Export,Export(US$ Mil),         736773.36,         593028.95,         560207.43,         544270.84,         517993.79,         474126.53,         491470.13,         507668.33,         496010.07,         490844.78,         447313.80,         405929.28,         314595.84,         378331.99,         317843.34,         362795.37,         310918.32,         201939.17,         214971.03,         144232.23,         139677.65,         149903.07,         126197.89,         121381.12,         124170.84,         107687.83,         105219.20,          88633.71,          76851.71,          52153.29,          41745.94,          36681.99,          33454.42,          28131.14
