Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Consumer goods,Export,Export(US$ Mil),        2976626.67,        2435924.92,        2645692.28,        2720122.70,        2477339.82,        2256011.70,        2308817.38,        2703204.27,        2651704.66,        2529547.36,        2568651.31,        2141096.85,        2029561.31,        2547129.73,        2218457.13,        1879334.33,        1651304.70,        1484520.89,        1255582.90,        1042485.79,         939253.12,         901731.87,         845490.00,         786634.28,         763975.38,         746159.79,         683918.36,         576543.00,         338463.66,         310984.21,         206483.47,         209357.24,         172793.03,         127409.68
,World,Minerals,Export,Export(US$ Mil),          67569.59,          46992.01,          46056.50,          45805.31,          40850.61,          30922.42,          32175.76,          42528.18,          43999.64,          43991.61,          45858.14,          33803.63,          27124.79,          39092.87,          31626.81,          25871.02,          21665.58,          17830.48,          13442.69,          11293.68,          10531.62,          10842.45,          11067.24,          10765.45,          11368.43,          11374.43,           9741.58,           8137.60,           5542.40,           4930.06,           2850.84,           3359.53,           3224.27,           1519.02
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        1050571.32,         868341.96,         903593.01,         963689.29,         887732.61,         813465.90,         798872.24,         916748.93,         899485.78,         873073.48,         949784.39,         810528.16,         750637.78,        1014954.32,         932675.77,         764674.51,         671101.49,         629874.11,         516123.23,         418571.56,         383235.30,         376474.34,         365675.73,         336944.16,         315150.86,         319196.87,         312295.91,         247650.49,         125409.72,         112463.68,          55867.24,          61934.29,          50261.66,          28043.01
,World,Raw materials,Export,Export(US$ Mil),         732089.63,         552562.91,         634019.86,         662572.32,         565513.25,         485400.17,         512073.53,         719498.64,         755865.66,         759571.64,         763665.02,         599834.63,         488383.12,         705925.14,         540293.59,         458402.55,         396441.09,         327820.48,         258234.97,         215668.52,         197545.59,         203495.93,         169563.99,         142794.48,         161865.80,         169240.83,         140659.95,         122236.66,          82125.85,          58845.33,          32331.52,          31715.19,          29144.96,          13834.04
,World,Capital goods,Export,Export(US$ Mil),        2182054.38,        1870670.40,        2062672.20,        2098941.60,        1922008.76,        1769125.50,        1738667.34,        1955388.79,        1901592.21,        1822416.92,        1910642.74,        1631235.16,        1488956.07,        1994322.25,        1818169.38,        1578821.93,        1376316.64,        1276216.13,        1062642.79,         915050.80,         876788.79,         873583.54,         833470.74,         796816.66,         740887.71,         717141.01,         669429.53,         535617.13,         323943.78,         280957.27,         203984.01,         203329.14,         170320.97,         140026.83
,World,Plastic or Rubber,Export,Export(US$ Mil),         403369.41,         309915.12,         324379.97,         345963.60,         317557.59,         286496.26,         285677.56,         332880.19,         326433.49,         310919.75,         329864.41,         272742.27,         242527.17,         305480.60,         292271.14,         245068.98,         214165.83,         192219.12,         156935.18,         128615.31,         118531.38,         118029.19,         116563.12,         104112.04,         101269.25,         101093.09,         100264.32,          79869.68,          46324.30,          45292.34,          29674.66,          29881.42,          25570.14,          21610.57
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,         166977.58,         168160.86,         176096.55,         163161.14,         149157.98,         145114.10,         142288.42,         131276.32,         106017.70,          65703.18,          74667.12,,,,          24181.73
,World,Vegetable,Export,Export(US$ Mil),         274129.32,         231390.15,         214320.95,         212673.69,         201239.83,         188190.31,         183487.40,         205747.55,         206785.20,         194095.41,         187503.94,         150369.89,         146518.69,         172030.71,         134094.33,         105630.24,          95583.42,          87003.42,          79190.16,          64728.05,          56919.33,          55107.21,          62228.29,          59194.21,          59251.98,          62849.69,          59611.74,          49870.88,          29222.84,          30759.74,          15283.11,          14916.57,          13259.81,           4768.90
,World,Footwear,Export,Export(US$ Mil),          59662.86,          50857.27,          56502.44,          55776.71,          50089.78,          45412.28,          42884.85,          48895.28,          45240.30,          40402.06,          43349.92,          35370.99,          36381.69,          41351.65,          37626.86,          33019.88,          29984.19,          29118.97,          26131.32,          23099.24,          22014.25,          20672.52,          21518.01,          20739.18,          21072.31,          21958.37,          20364.95,          18181.31,           7164.45,           6452.84,           4900.03,           4945.72,           4064.76,           2272.25
,World,Miscellaneous,Export,Export(US$ Mil),         775484.57,         609026.44,         662979.29,         680256.08,         594579.85,         566546.67,         543329.73,         605538.37,         594405.77,         576865.32,         654982.34,         604683.69,         574359.55,         697056.97,         615064.53,         488102.40,         428144.35,         431387.87,         357060.85,         288771.25,         289219.90,         290299.22,         211825.54,         188040.89,         192155.02,         200076.69,         182922.90,         146166.55,         106087.47,          86489.24,          61151.30,          60411.03,          49089.37,          41215.66
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         416658.94,         340427.85,         349638.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Import,No. Of Import products,           4596.00,           4597.00,           4612.00,           4612.00,           4612.00,           4605.00,           4582.00,           4620.00,           4629.00,           4629.00,           4611.00,           4828.00,           4823.00,           4857.00,           4916.00,           4921.00,           4924.00,           4930.00,           4929.00,           4931.00,           4946.00,           5006.00,           5024.00,           5024.00,           5029.00,           5034.00,           5037.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5033.00,           5032.00
,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          61008.73,,,,
,...,...,Export,No. Of Export products,           4568.00,           4564.00,           4602.00,           4600.00,           4599.00,           4586.00,           4582.00,           4594.00,           4614.00,           4618.00,           4611.00,           4753.00,           4756.00,           4777.00,           4836.00,           4901.00,           4902.00,           4917.00,           4912.00,           4923.00,           4944.00,           4989.00,           5015.00,           5012.00,           5017.00,           5027.00,           5037.00,           5037.00,           5036.00,           5032.00,           5031.00,           5030.00,           5034.00,           5026.00
,...,...,Export,No. Of Export partners,            237.00,            237.00,            237.00,            237.00,            237.00,            237.00,            237.00,            237.00,            238.00,            237.00,            237.00,            234.00,            235.00,            234.00,            235.00,            236.00,            233.00,            234.00,            234.00,            234.00,            234.00,            233.00,            222.00,            218.00,            220.00,            220.00,            225.00,            226.00,            226.00,            217.00,            193.00,            194.00,            196.00,            195.00
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1032155.83,         830644.12,         871837.86,         915346.15,         815450.32,         744546.49,         732337.92,         863654.84,         836346.14,         807124.47,         844259.99,         706956.02,         670521.52,         863531.78,         757689.98,         659037.81,         574430.22,         537639.45,         452215.47,         375684.68,         365368.97,         360710.32,         340029.78,         313904.98,         301455.67,         306929.78,         301242.23,         239305.33,         119770.38,         101279.82,          42404.23,,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,         320016.67,         370571.22,         381766.79,         353831.04,         327633.64,         330357.22,         392866.57,         382920.14,         376194.97,         400167.22,         352353.09,         347408.46,         446752.48,         421190.16,         361267.63,         320207.67,         311947.55,         268950.16,         221152.55,         210237.79,         212774.21,         210563.84,         187783.58,         177181.30,         175710.47,         169448.22,         140063.76,          99748.06,          97111.96,          76709.43,          70155.98,          55024.10,          40179.45
,World,Intermediate goods,Export,Export(US$ Mil),        2136484.42,        1599980.78,        1625622.22,        1685485.41,        1524328.52,        1368168.51,        1396253.24,        1611128.17,        1691230.97,        1599717.04,        1572917.57,        1300421.35,        1186175.75,        1590089.03,        1438504.33,        1168135.67,        1005691.92,         920716.56,         743512.89,         624387.92,         579068.25,         580098.54,         550493.14,         524028.13,         515796.86,         519075.05,         494035.38,         400138.47,         242928.63,         223375.89,         153945.42,         159936.17,         144142.73,         117445.57
,World,Textiles and Clothing,Export,Export(US$ Mil),         272305.33,         228367.49,         244524.95,         246909.37,         226522.28,         209877.44,         204184.68,         234247.12,         221409.29,         206668.66,         219922.47,         188758.24,         187052.01,         227045.14,         216857.44,         191646.31,         181195.06,         179699.62,         160459.52,         137336.55,         129081.37,         127503.52,         133179.41,         130702.59,         133496.08,         126246.27,         121820.44,         103666.20,          55750.28,          55445.14,          39272.64,          41280.87,          34341.85,          25095.12
,World,Food Products,Export,Export(US$ Mil),         370055.04,         321976.04,         314635.97,         317193.05,         293501.08,         270974.85,         264536.60,         300175.78,         291536.84,         269559.32,         267730.12,         228492.87,         227940.24,         249040.06,         216074.70,         177199.02,         159983.80,         148014.17,         129858.22,         108796.54,          97292.21,          93008.32,          98996.40,          93394.74,          94568.18,          98491.88,          92125.84,          78665.88,          46548.45,          38761.29,          18878.91,          18331.18,          15295.48,           9307.00
,World,Consumer goods,Import,Import(US$ Mil),        2872798.44,        2358150.44,        2521681.17,        2570569.66,        2340929.86,        2137547.74,        2134300.37,        2485359.73,        2455133.25,        2374902.25,        2517958.59,        2123255.24,        2010718.55,        2504139.70,        2184677.43,        1831499.02,        1598689.81,        1438184.85,        1206508.49,         992892.18,         891906.77,         855415.75,         807380.39,         750776.32,         708097.91,         703404.03,         643227.06,         549840.90,         355047.19,         327055.95,         229171.83,         205855.05,         153988.68,         118919.05
,World,Transportation,Export,Export(US$ Mil),         917845.72,         802926.89,         957819.39,         988433.87,         932612.66,         877256.25,         840377.17,         894430.32,         837709.17,         790840.67,         819861.27,         690739.21,         607745.47,         838289.90,         781211.72,         655086.45,         590042.21,         565164.30,         481600.32,         400113.55,         355963.02,         339295.99,         342205.69,         315312.26,         281241.31,         275693.66,         255224.32,         208389.00,         123646.34,         120715.01,          90059.87,          90130.81,          76325.16,          58809.24
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         849190.25,         669900.30,         640395.69,         628984.61,         577600.75,         527199.99,         518133.23,         566531.94,         534015.44,         523228.83,         553189.69,         497610.52,         397620.05,         489814.14,         413493.67,         306869.40,         244652.50,,,,,,,,,,,,,,,,,
,World,Raw materials,Import,Import(US$ Mil),         840820.19,         617516.98,         736824.77,         794409.21,         688848.91,         575973.69,         629466.79,         883548.15,         942933.06,         972880.24,         988489.63,         764975.97,         627432.89,         954429.37,         740769.95,         644615.06,         544408.89,         444040.77,         350483.02,         291308.09,         281764.84,         301609.73,         248681.80,         227663.17,         252924.96,         263784.34,         236577.77,         207348.87,         130304.33,         122557.83,          85454.92,          89433.89,          75528.25,          47209.97
,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         468445.36,         374180.86,         378605.32,         402099.07,         355997.00,         326227.36,         325774.03,         400227.40,         399455.82,         383511.97,         400433.16,         332795.36,         300265.03,         395613.92,         358384.90,         302355.77,         262755.50,         239074.55,         194260.58,,         152131.30,         163791.01,,,,,,,,,          49069.64,          47371.33,          37457.04,          30768.10
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         416058.20,         358283.42,         406568.81,         411046.25,         390468.03,         392352.16,         374912.14,         427371.95,         416476.84,         420451.42,         404284.35,         352232.86,         356749.02,         474571.41,         439480.69,         360481.01,         328867.21,         315230.46,         265896.79,         233917.96,         218116.37,         212451.24,         197066.94,         175648.92,         173358.75,         165070.92,         155679.88,         129238.35,          81236.98,          79262.08,          48298.25,          54051.22,          49651.02,          39208.24
,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,         363949.06,         362223.92,,,,,,,,,,,,,,,,,,,,,,,
,World,Hides and Skins,Export,Export(US$ Mil),          48941.00,          39017.44,          47455.63,          47291.42,          44031.70,          40172.64,          41230.17,          46398.04,          46295.28,          41389.70,          40944.45,          32279.83,          27863.92,          35357.92,          33377.11,          29373.90,          25688.53,          24753.54,          22007.34,          19664.02,          18906.90,          17500.18,          15736.34,          16288.35,          17640.77,          18514.83,          16558.82,          14595.74,           6349.24,           6128.09,           4177.24,           4704.75,           4608.75,           2812.43
,...,...,Development,Trade Balance (current US$ Mil),,         705441.87,         779521.37,         858135.57,         714166.17,         669931.88,         729898.36,         784497.20,         714887.44,         649727.19,         496881.42,         393541.85,         368539.30,         331517.14,         294861.71,         285695.68,         286891.79,         300780.61,         230038.99,         218716.12,         153749.72,         113485.37,         129450.42,         151828.50,         180038.76,         174127.56,         159536.09,         126671.07,         113517.25,          57640.85,         -18680.96,         -51869.84,         -60931.47,         -37334.64
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         533237.66,         427590.70,         474907.76,         493102.88,         450916.25,         415776.08,         412566.57,         494797.38,         498066.88,         489138.57,         528521.93,         450706.90,         453982.67,         563230.62,         502666.58,         443007.05,         394454.06,         365396.43,         309335.76,         254700.20,         243763.91,         246421.44,         231404.22,         194242.03,         183684.76,         189166.88,         183444.53,         150891.32,         106718.95,         102873.52,          77519.90,          77820.25,          64969.31,          48722.69
