Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Egypt, Arab Rep.",World,Consumer goods,Export,Export(US$ Mil),          20850.42,          11668.15,          14849.88,          13483.27,          11296.12,           9581.12,          10266.77,          12115.26,          13201.39,          13685.14,          14088.99,          12805.43,          11881.82,          14603.65,           8996.10,           7981.96,           6253.24,           3984.65,           3246.60,           2281.15,           2241.24,           2882.03,            924.91,            957.06,            916.59,            762.12,            715.73,            698.05,,,,,,
"Egypt, Arab Rep.",World,Minerals,Export,Export(US$ Mil),            744.71,            486.59,            515.72,            463.78,            404.19,            370.96,            398.46,            396.02,            654.31,            744.40,            661.77,            433.27,            847.84,            577.73,            341.86,            440.93,            465.01,            436.93,            283.74,            126.80,             49.00,             44.49,             32.19,             37.62,             39.18,             24.04,             20.88,             16.18,,,,,,
"Egypt, Arab Rep.",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3297.07,           3486.02,           4256.24,           4208.05,           4530.96,           6056.65,           5747.29,           5540.06,           5246.84,           4669.98,           3930.01,           4023.95,           3639.43,           3276.45,           1781.91,,           1027.92,            861.28,            738.06,            828.19,            964.16,           1238.63,           1382.06,           1467.99,           1141.77,           1089.17,           1044.58,            913.37,,,,,,
"Egypt, Arab Rep.",World,Raw materials,Export,Export(US$ Mil),           6618.99,           4551.97,           5408.62,           5260.31,           5192.51,           4793.95,           5039.46,           6017.02,           6273.59,           6171.90,           6470.82,           4822.70,           4933.77,           4583.74,           1988.74,           1586.45,           1258.34,           1402.66,           1068.89,            947.67,            699.78,            758.99,            717.33,            571.36,            997.15,           1153.85,           1139.27,           1213.43,,,,,,
"Egypt, Arab Rep.",World,Capital goods,Export,Export(US$ Mil),            978.38,            681.96,            511.60,            630.62,            632.34,            459.54,            412.32,            545.02,            498.03,            538.72,            542.96,            492.69,            578.47,            654.69,             53.76,             85.12,            115.09,             83.86,             59.04,             63.59,             51.07,             45.92,             32.82,             24.63,             47.74,             18.52,             17.87,             18.95,,,,,,
"Egypt, Arab Rep.",World,Plastic or Rubber,Export,Export(US$ Mil),           2804.93,           1849.66,           2155.17,           1908.78,           1631.44,           1274.23,           1480.75,           1757.45,           1621.91,           1354.46,           1202.62,            955.24,            815.34,            961.59,            477.43,            399.29,            315.88,            228.93,            165.33,             92.64,            117.97,             85.43,            118.86,             46.06,             60.88,             40.38,             34.20,             23.16,,,,,,
"Egypt, Arab Rep.",World,Vegetable,Export,Export(US$ Mil),           3880.03,           3311.63,           3436.48,           3039.66,           3073.14,           3011.25,           3090.10,           3016.15,           3031.13,           2783.27,           3067.05,           2980.02,           3061.04,           2113.30,           1064.20,            735.95,            758.25,            635.64,            434.85,            346.45,            358.89,            333.11,            283.23,            363.95,            259.75,            351.76,            310.66,            246.73,,,,,,
"Egypt, Arab Rep.",World,Footwear,Export,Export(US$ Mil),              4.22,              2.68,              4.28,              4.82,              5.58,              5.69,              9.29,             12.27,             11.03,              9.56,             18.90,             17.60,             17.28,              8.25,              1.60,              0.82,              1.54,              1.07,              1.31,              1.33,              1.29,             11.47,              3.19,              5.97,              7.85,             12.05,             10.70,             12.44,,,,,,
"Egypt, Arab Rep.",World,Miscellaneous,Export,Export(US$ Mil),            418.14,            364.65,            377.15,            418.88,            412.22,            467.83,            461.85,            733.13,            664.64,            470.89,            417.29,            389.72,            398.55,            382.89,           2853.09,           1695.99,           1242.45,            489.99,            426.03,            461.76,            316.05,            157.04,            197.00,            114.26,             45.63,             24.55,             21.98,             21.25,,,,,,
"Egypt, Arab Rep.",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            222.35,,,,,,,,,,,,,,
"Egypt, Arab Rep.",...,...,Import,No. Of Import products,           4060.00,           4064.00,           4149.00,           4189.00,           4137.00,           4185.00,           4188.00,           4167.00,           4192.00,           4248.00,           4205.00,           4183.00,           4297.00,           4190.00,           4154.00,           4157.00,           4118.00,           3916.00,           3841.00,           3872.00,           3965.00,           3988.00,           4015.00,           4002.00,           3945.00,           3868.00,           3833.00,           3959.00,,,,,,
"Egypt, Arab Rep.",India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           2327.32,,,,,,,           1923.34,           2135.09,           2039.54,           2265.44,           1227.90,           1460.17,           1665.28,           1825.84,           1395.94,            528.95,,            479.40,            413.59,            253.30,,,,,,,,,,,,,
